gvkey,fyear,conm,cik,ein
32704,2017,INVESCO RSL 1000 S F ETF,NA,
32705,2017,INVESCO RSL 1000 V F ETF,NA,
32715,2014,ARCTURUS THERAPEUTICS INC,1566049,46-1981974
32720,2017,DIREXON PHRM MED BULL 3X ETF,NA,
32724,2017,PRSHRS DCL OF THE RT STR ETF,NA,
32725,2017,PRSHRS LG ONL/SHRT STRS ETF,NA,
32736,2017,REGALWOOD GLBL ENRGY,1717961,
32741,2015,ICLICK INTRC ASIA -ADR,1697818,
32742,2017,MCKNZIE CND SH TR FX INC ETF,NA,
32743,2017,MACKENZIE IVY GLB EQTY ETF,NA,
32744,2017,MACKENZIE PTF COMPLETION ETF,NA,
32746,2015,SSLJ.COM LTD,1709563,
32747,2015,ADVNTAGE INSURANCE INC -REDH,1714763,66-0840765
32748,2013,NEWMARK GROUP INC,1690680,81-4467492
32749,2016,ENTERA BIO LTD,1638097,
32750,2015,LEXINFINTECH HLDG -ADR,1708259,
32751,2015,INDSTRL LGST PRPT TRST,1717307,82-2809631
32755,2017,MNLF MLFC CD SMID CP IDX ETF,NA,
32756,2017,MNLF MLTFC US SM CP IDX ETF,NA,
32763,2015,LUTHER BURBANK CORP,1475348,68-0270948
32764,2017,HRZNS ROBTCS & ATMTN IDX ETF,NA,
32765,2017,AAM S&P 500 HIGH DIV VAL ETF,NA,
32766,2017,AAM S&P EMRG MRKT HI DIV ETF,NA,
32767,NA,AXA EQUITABLE HOLDINGS,1333986,90-0226248
32771,2015,WILLSCOT CORP,1647088,82-3430194
32772,2017,INVESCO HIGH INCOME FUND,NA,
32775,2015,DENALI THERAPEUTCS INC,1714899,46-3872213
32776,2017,DESJARDINS EM MLTF-CNTRL ETF,NA,
32777,2017,EXEMPLAR INVEST GRD FUND ETF,NA,
32779,2017,JPMORGAN EVENT DRIVEN ETF,NA,
32780,2017,USCF SUMMERHAVN SHPEN IDX FD,NA,
32781,2017,USCF SUMMRHAVEN SHPEI IDX FD,NA,
32786,2017,ARK IRL INNVTIVE TCHNLGY ETF,NA,
32792,2015,QUANTERIX CORP,1503274,20-8957988
32795,2015,ODONATE THERAPEUTICS,1717452,82-2493065
32796,2018,GIGCAPITAL INC,1719489,81-4838205
32799,2017,NEO PERFORMANCE MATERLAS INC,NA,
32800,2014,ROOTS CORP,NA,
32804,2016,SELECT INTERIOR CONCEPTS INC,1723866,47-4640296
32805,2017,JPMORGAN MNGD FUT STRTGY ETF,NA,
32809,2016,APOLLO MEDICAL HOLDING INC,1083446,95-4472349
32813,2017,PACER WEALTH SHIELD ETF,NA,
32819,2016,DOGNESS (INTL) CORP,1707303,
32820,2017,ADVISORSHARES VICE ETF,NA,
32821,2017,IQ CHAIKIN US LARGE CAP ETF,NA,
32822,2016,FARMMI INC,1701261,
32824,2017,LONGFIN CORP,1699683,81-5312393
32838,2017,AMERN ENERGY INDEPNCE ETF,NA,
32843,2015,CORPORACION AMER ARPRT,1717393,
32845,2017,HARTFORD MUNICIPAL OPPS ETF,NA,
32846,2016,PROCESSA PHARMACEUTICALS INC,1533743,45-1539785
32851,2015,ONE STOP SYSTEMS INC,1394056,33-0885351
32852,2016,AKUMIN INC,NA,
32855,2013,AVAYA HLDGS CORP,1418100,26-1119726
32857,2017,JAMES PURPOSE BASED INVT ETF,NA,
32858,2016,ELOXX PHARMACEUTICALS INC,1035354,84-1368850
32860,2014,VIEMED HEALTHCARE,1729149,
32861,2015,EYENOVIA INC,1682639,47-1178401
32864,2016,IA ENERGY CORP -REDH,1673431,81-1002497
32867,2017,INNOVATOR IBD ETF LEADRS ETF,NA,
32868,2017,WSDMTR ICBCCS S&P CHN 500 FD,NA,
32869,2017,WISDOMTREE BALANCED INC FD,NA,
32871,2015,SAILFISH ROYALTY CORP,NA,
32872,2016,CHNA SXT PHRMCUTCL INC,1723980,
32875,2017,PLTNM EGLE ACQSTON CRP,NA,
32876,2017,GRDN PNTE ACQSTON CRP,1708176,82-1270173
32878,2015,GOLDEN BULL LTD,1710350,
32879,2014,HUDSON LTD,1714368,
32881,2017,SPDR KENSHO INTLGNT STRC ETF,NA,
32882,2017,SPDR KENSHO FUTR SECURTY ETF,NA,
32883,2017,SPDR KENSHO SMART MOBLTY ETF,NA,
32884,2015,PAGSEGURO DIGITAL LTD,1712807,
32886,2012,GATES INDUSTRIAL CORP PLC,1718512,98-1395184
32888,2017,NTXS LMS SYLS SH DUR INC ETF,NA,
32889,2015,MENLO THERAPEUTICS INC,1566044,45-3757789
32890,2018,ALPS DISRUPTIVE TECHNLG ETF,NA,
32891,2018,ARROW DWA COUNTRY ROTATN ETF,NA,
32892,2018,AFFINITY WRLD LDRS EQTY ETF,NA,
32893,2015,TFI TB GDA YTRMLR -ADR -REDH,1714768,
32894,2015,SOLID BIOSCIENCES INC,1707502,90-0943402
32895,2015,ARMO BIOSCIENCES INC,1693664,27-3454138
32897,2015,SOL GEL TECHNOLOGS LTD,1684693,
32898,2017,NEBULA ACQUISITON CORP,1720353,82-3008583
32899,2016,RESTORBIO INC,1720580,81-3305277
32901,2016,SELLAS LIFE SCIENCES GROUP I,1390478,20-8099512
32903,2018,ARROW DOGS OF THE WORLD ETF,NA,
32908,2017,ROCKET PHARMACEUTICALS INC,1281895,04-3475813
32909,2017,IRON HORSE ACQUSTN CRP -REDH,1720586,98-1392140
32919,2015,EVOLUS INC,1570562,46-1385614
32922,2015,ALLEGIANT GOLD LTD,1725603,
32924,2018,XTRCKRS SHRT DURTN HG ETF,NA,
32927,2018,XTRACKERS LOW BETA HIGH YIEL,NA,
32928,2018,XTRACKERS HGH BT HGH ETF,NA,
32929,2018,INSIGHTSHARES LGBT EMPLOYME,NA,
32930,2012,ADT INC,1703056,47-4116383
32934,2018,GRANITESHRS PLTNM TRST ETF,NA,
32935,2015,CARDLYTICS INC,1666071,26-3039436
32936,2015,HUAMI CORP -ADS,1720446,
32937,2015,VISTA PRPNTS AND LGSTC -REDH,1713854,82-0797817
32938,2015,CACTUS INC,1699136,35-2586106
32939,2015,IPSCO TUBULARS INC -REDH,1262719,84-1016860
32940,2017,CRESCENT ACQ CORP,1723648,82-3447941
32941,2016,BIOXCEL THERAPEUTICS,1720893,82-1386754
32943,2018,AMERICAN CENTRY DIV CORP ETF,NA,
32944,2018,AMRCN CNTRY STOXX US VAL ETF,NA,
32945,2018,FIDELITY INT VLU FCTR ETF,NA,
32946,2017,MUDRICK CPTL AQSTN CRP,1718405,82-2657796
32952,2018,AMPLIFY TRNSFRMTNL DT SH ETF,NA,
32953,2018,REALITY SHARES NASDAQ NEXTGE,NA,
32954,2018,NASDAQ 7HANDL INDEX ETF,NA,
32961,2017,EVOFEM BIOSCIENCES INC,1618835,20-8527075
32962,2015,TAL CONSOLIDATED INC -REDH,1724070,82-3343404
32964,2018,FIDELITY INTL HGH DIV ETF,NA,
32978,2017,LEO HOLDINGS CORP,1725134,98-1399727
32980,2012,AMERICOLD REALTY TRUST,1455863,93-0295215
32981,2018,INSGHTSHRS MLTRY VTRNS ETF,NA,
32982,2018,KRANESHARES ELT VHL AND FTR,NA,
33002,2017,MTECH ACQUISITION CORP,1719893,82-2932611
33004,2018,MACKENZIE INTRNTNL EQ IN ETF,NA,
33005,2018,MACKNZ CN LRG CAP EQ IND ETF,NA,
33006,2018,MACKENZIE US LRG CP EQTY ETF,NA,
33007,2018,MACKENZIE CAN EQTY IND ETF,NA,
33008,2018,MACKNZ US HGH YLD BND IN ETF,NA,
33009,2018,JPMORGAN LONG SHORT ETF,NA,
33010,2018,FRST TRST INDX INVTV TRNS PR,NA,
33011,2016,IMAGE CHAIN GROUP LTD INC,1598924,46-4333787
33026,2018,FRANKLIN LIBERTY CR BLNC ETF,NA,
33027,2018,FRANKL LBRTQT EMRG MR IN ETF,NA,
33028,2018,FRANKL LIB GLOBL DVNT IN ETF,NA,
33032,2018,MACKENZIE INTRNATL EQTY ETF,NA,
33033,2018,MACKENZI US LRG CP EQTY ETF,NA,
33034,2018,MACKENZ CAN SHRT TRM BND ETF,NA,
33035,2018,MACKENZ US INVST GRD CRP BND,NA,
33036,2018,MACKENZIE CAN AGRT BND ETF,NA,
33037,2015,ZSCALER INC,1713683,26-1173892
33038,2017,UNION ACQUISITION CORP,NA,
33040,2018,JP MORGAN USD EMRNG MKT ETF,NA,
33041,2018,INNOVATION SHR NXTGN PRT ETF,NA,
33042,2018,MOTLEY FOOL 100 INDEX ETF,NA,
33047,2017,DROPCAR INC,1086745,98-0204758
33048,2017,INNOVATE BIOPHRMCEUTICLS INC,1551986,27-3948465
33051,2014,PINNACLE RENEWABLE ENRGY INC,NA,
33056,2016,COLUMBIA FINANCIAL INC,1723596,22-3504946
33059,2018,US EQUTY EX DVDT FND SR 2027,NA,
33060,2018,US EQ CMLTV DVDN FND SR 2027,NA,
33061,2018,VANGUARD BAL ETF PRFLIO UNIT,NA,
33062,2018,VANGUARD GROW ETF PRTFL UNIT,NA,
33063,2018,VANGUARD CNSRV ETF PORT UNIT,NA,
33064,2016,IPIC ENTERTAINMENT INC,1720201,82-3129582
33065,2018,CBOE RSSLL 2000 PTWRT FD ETF,NA,
33066,2015,COLONY NORTHSTAR CR REAL EST,1717547,38-4046290
33067,2012,FTS INTERNATIONAL INC,1529463,30-0780081
33068,2017,PURPLE INNOVATION INC,1643953,47-4078206
33072,2018,FRANKLN FTS SWTZRLND ETF,NA,
33077,2018,HARVEST US BNK LDRS INCM ETF,NA,
33078,2018,HARVEST GLOB RSRCE LDRS ETF,NA,
33081,2017,TMSR HOLDING CO LTD,1641398,47-3709051
33083,2018,BLOCKCHN TEHNLGS ETF,NA,
33087,2018,FRANKLIN FT ASIA EX JPN ETF,NA,
33088,2018,FRANKLIN FTSE RUSSIA ETF,NA,
33089,2018,FRANKLIN FTSE INDIA ETF,NA,
33091,2018,IDEANOMICS NEXTGEN VEH & TEC,NA,
33097,2018,EVOLVE MARIJUANA FUND,NA,
33103,2017,GRAPHENE & SOLAR TECHNOLOGIE,1497649,27-2888719
33111,2017,DFB HEALTHCARE ACQ,1725255,82-3677704
33113,2016,MANSFIELD-MARTIN EXPLN MNG,1516559,45-0704149
33114,2017,VAXART INC,72444,59-1212264
33117,2018,VANGURD U.S. MNTUM FCT ETF,NA,
33118,2018,VANGURD U.S. VLU FCTR ETF,NA,
33119,2018,VANGURD U.S. LQUDTY FCT,NA,
33120,2018,VANGURD U.S. MULTFCTR ETF,NA,
33121,2018,VANGURD U.S. MIN VLTY ETF,NA,
33122,2018,VANGURD U.S. QULTY FCTR ETF,NA,
33124,2018,PORTFOLIOPLUS DEVELOPED MKTS,NA,
33125,2018,PORTFOLIOPLUS S&P MID CAP,NA,
33126,2018,PORTFOLIOPLUS EMERGING MRKTS,NA,
33127,2016,FUSE MEDICAL INC,319016,59-1224913
33131,2016,BRIDGEWATER BANCSHARES,1341317,26-0113412
33133,2016,ARCUS BIOSCIENCES INC,1724521,47-3898435
33134,2016,WEST COAST VENTURES GROUP CO,1551906,99-0377575
33136,2016,AIXIN LIFE INTERNATIONAL INC,835662,84-1085935
33137,2016,TIBERIUS ACQU CORP,1662253,81-0824240
33138,2017,OPES ACQUISITION CORP,1723580,82-2418815
33141,2018,BRISTOL GATE CNCNTRTD CAN EQ,NA,
33142,2018,BRISTOL GATE CNCNTRTD US EQ,NA,
33145,2018,FRST TRST NSDQ ARTFCL INT RB,NA,
33149,2018,VOLSHARES LARGE CAP,NA,
33151,2017,TERRAPIN 4 ACQU CRP -REDH,1725268,82-1710140
33152,2015,DROPBOX INC,1467623,26-0138832
33155,2018,ENOCHIAN BIOSCIENCES INC,1527728,45-2559340
33159,2016,IBEX HOLDINGS LIMITED -REDH,1720420,
33161,2016,SUNLANDS TECH GRP -ADS,1723935,
33171,2015,EMBLEM CORP,NA,
33172,2018,PICKENS MRNGSTR RNWBL EN RES,NA,
33173,2016,EXPERION HOLDINGS LTD,1764790,
33175,2016,SPOTIFY TECHNOLOGY SA,1639920,98-1097620
33179,2018,DAVIS SELECT INTRNTNL ETF,NA,
33183,2016,COSMOS GROUP HOLDINGS INC,1706509,22-3617931
33184,2015,RAFAEL HOLDINGS INC,1713863,82-2296593
33185,2015,UNUM THERAPEUTICS INC,1622229,46-5308248
33186,2016,BILIBILI INC -ADS,1723690,
33187,2016,ONESMRT IN ED GR -ADS,1722380,
33188,2018,EVOLVE BLOCKCHAIN ETF,NA,
33194,2018,HARVEST EUROPN LDRS INC ETF,NA,
33198,2018,BMO CORPORATE BOND INDEX ETF,NA,
33199,2018,BMO SHORT TERM BOND INDX ETF,NA,
33200,2016,VRIO CORP -REDH,1722854,82-3203470
33203,2018,BMO GOVERNMENT BND INDX ETF,NA,
33204,2018,BMO ERP HGH DVDN CVRD CL ETF,NA,
33205,2018,BMO US HG DVDN CV HDG CD ETF,NA,
33214,2016,ATLAS HOLDINGS INC -REDH,NA,32-0546926
33225,2016,TRIDENT ACQUISTNS CORP,1673481,81-1996183
33232,2015,ZUORA INC,1423774,20-5530976
33233,2016,RED VIOLET INC - SPN,1720116,82-2408531
33237,2017,4FRONT VENTURES CORP,NA,
33240,2016,HOMOLOGY MEDICINES INC,1661998,47-3468154
33241,2018,TOKEN COMMUNITIES LTD -OLD,NA,81-3709511
33242,2016,GREENTREE HPTY GP -ADS,1724755,
33243,2013,WYNDHAM HOTELS & RESRTS,1722684,82-3356232
33251,2018,BREAKWAVE DRY BLK SHPPNG ETF,NA,
33252,2018,ISHRS IBND DC 2024 TR MN BND,NA,
33254,2016,IQIYI INC -ADR,1722608,
33256,2018,ISHARES ELVD U.S. TCNL ETF,NA,
33257,2018,FRST TRS IND IN TRN & PR ETF,NA,
33259,2018,ISHR ELV U.S. HLTC STPL ETF,NA,
33260,2018,ISHRS EVLVD US CNSM STPL ETF,NA,
33261,2018,ISHRS EVL U.S. MD & ENT ETF,NA,
33263,2018,ISHARS EVLVD U.S. FNCL ETF,NA,
33264,2018,ISHARS EVL U.S. INVT ETF,NA,
33272,2016,LEVEL ONE BANCORP INC,1412707,71-1015624
33274,2016,SURFACE ONCOLOGY INC,1718108,46-5543980
33275,2015,SMARTSHEET INC,1366561,20-2954357
33278,2018,DYN ISHR ACT INV GRD FLT ETF,NA,
33279,2014,INFRASTRUCTR & ENRGY ALT INC,1652362,47-4787177
33280,2017,ALEAFIA HEALTH INC,1754664,
33285,2017,TROILUS GOLD CORP,NA,
33290,2018,PURPOSE STRTGC YLD FUND ETF,NA,
33292,2018,PURPOSE MLTASST INCME FD ETF,NA,
33293,2018,PURPOSE GLBL INVTS FD ETF,NA,
33296,2016,ALZHEON INC -REDH,1582636,46-3074149
33298,2018,LHA MRKT STT U.S. TCTCL ETF,NA,
33301,2015,DOCUSIGN INC,1261333,91-2183967
33306,2018,ISHARES US INFRASTRUCTURE,NA,
33307,2018,ISHRS BLMBRG RL SLT CMDT ETF,NA,
33308,2018,XTRCKRS RSSL 1000 US QA ETF,NA,
33309,2018,PGIM ETF TRUST,NA,
33316,2017,SPRT OF TXS BNCSR INC,1499453,90-0499552
33317,2016,UNTY BIOTCHNLGY INC,1463361,26-4726035
33318,2018,VANECK VECTORS RA ALLOC  ETF,NA,
33320,2018,PACER FUNDS TRUST,NA,
33321,2015,PIVOTAL SOFTWARE INC,1574135,94-3094578
33324,2017,PURE ACQUISITION CORP,1726293,82-3434680
33325,2018,ISHARES MSCI USA SMLL CP ESG,NA,
33326,2013,APERGY CORP,1723089,82-3066826
33329,2018,ADVISORSHARES NT & MEDIA ETF,NA,
33330,2018,VIRTUS GLVSTA EMRNG MRKT ETF,NA,
33331,2018,FRANKLIN FTSE TAIWAN ETF,NA,
33332,2018,FRANKLIN FTSE FRANCE ETF,NA,
33333,2018,FRANKLIN FTSE BRAZIL ETF,NA,
33334,2018,FRANKLIN FTSE AUSTRALIA ETF,NA,
33335,2018,JPMORGAN US MOMNTM FCTR ETF,NA,
33336,2018,INVESCO MULTI-FCTR LG CP ETF,NA,
33337,2016,OWL ROCK CAP CORP,NA,47-5402460
33338,2018,FRANKLIN FTSE EUROPE ETF,NA,
33344,2016,AM RESOURES CORP,NA,
33345,2018,FRANKLIN FTSE CANADA ETF,NA,
33346,2018,JPMORGAN U.S. DIVIDEND ETF,NA,
33347,2018,U.S DIVERFD REAL ESTATE ETF,NA,
33348,2018,NAT MAX DIVERS EMRG MRK ETF,NA,
33350,2018,GLOBL X ELTRC VHCS & AM ETF,NA,
33353,2018,FRANKLIN FTSE EUROPE HGD ETF,NA,
33354,2018,FRANKLIN FTSE JAPAN ETF,NA,
33355,2018,FRANKLIN FTSE ITALY ETF,NA,
33356,2018,FRANKLIN FTSE HONG KONG ETF,NA,
33357,2018,FRANKLIN FTSE GERMANY ETF,NA,
33358,2018,FRANKLIN FTSE CHINA ETF,NA,
33359,2018,DIREXION SHS ETF DLY EUR 3X,NA,
33360,2018,JPMORGAN U.S. VALU FCTR ETF,NA,
33361,2018,BRAND VALUE ETF,NA,
33362,2018,JPMORGAN U.S. QULTY FCTR ETF,NA,
33363,2018,FIRST TRUST DOW 30 EQ WT ETF,NA,
33364,2018,FRANKLIN FTSE UK ETF,NA,
33365,2018,FRANKLN FTSE SOUTH KOREA ETF,NA,
33366,2018,KRANESHARES MSCI ALL CHN ETF,NA,
33367,2018,FRANKLIN FTSE MEXICO ETF,NA,
33368,2018,JPMORGAN US MIN VOL ETF,NA,
33369,2018,JOHN HANCOCK MULTFTR SML ETF,NA,
33371,2018,INSPIRE CORP BOND IMPACT ETF,NA,
33382,2018,SURGE HOLDINGS INC,1392694,98-0550352
33387,2018,DIREXION DLY RBTCSRTF IND,NA,
33388,2018,HARTFRD SCHRDRS TX AWR ETF,NA,
33413,2018,PRINCIPAL INV GRD COR ETF,NA,
33416,2016,GREEN ORGNC DUTCHMN HLD,1695196,
33419,2018,AAM S&P DEVPD MRK HG DIV ETF,NA,
33420,2016,NLIGHT INC,1124796,91-2066376
33421,2016,GOOSEHEAD INSURANCE,1726978,82-3886022
33423,NA,CARBON BLACK INC,1366527,55-0810166
33424,2016,CONSTRUCTION PRTNR INC,1718227,26-0758017
33425,2016,LOVESAC CO (THE),1701758,16-1685692
33428,2018,PERMROCK ROYALTY TRUST,1724009,
33429,2016,EDISON NATION INC,1717556,82-2199200
33433,2017,WE CO (THE) -REDH,1533523,61-1936163
33435,2015,INSPIRE MEDICAL SYSTEM,1609550,26-1377674
33439,2014,PERSPECTA INC,1724670,82-3141520
33444,2016,EVELO BIOSCIENCES INC,1694665,46-5594527
33445,2016,SCHOLAR ROCK HOLDNG CRP,1727196,82-3750435
33446,2015,PLURALSIGHT INC,1725579,82-3605465
33447,2016,KINIKSA PHRMCETCLS LTD,1730430,98-1327726
33449,2014,USA COMPRESSION PRTNRS LP,1522727,75-2771546
33459,2016,ORIGIN BANCORP,1516912,72-1192928
33463,2018,EVOLVE INNOVATION INDEX FUND,NA,
33464,2016,ABPRO CORP -REDH,1670356,20-1546491
33466,2016,ITERUM THERAPEUTICS,1659323,98-1283148
33467,2016,BEYOND AIR INC,1641631,47-3812456
33476,2015,JERASH HOLDINGS (US),1696558,81-4701719
33477,2015,IPL PLASTICS INC,NA,
33480,2018,PROSHARS S&P 500 BND ETF,NA,
33481,2018,USCF SUMMERHAVEN DYN COMD ST,NA,
33487,2016,HUYA INC -ADS,1728190,
33488,2018,BMO GLBL COMM IDX ETF,NA,
33493,2018,VECTOIQ ACQ CORP,1731289,82-4151153
33494,2018,ISHARES INFLTN HDG CR BD ETF,NA,
33499,2015,EXICURE INC,1698530,81-5333008
33500,2016,MAGENTA THRPUTCS INC,1690585,81-0724163
33506,2018,FRNKLN LBRTY GBL AGG BND ETF,NA,
33507,2018,FRNKLN LBRTY SENR LN ETF,NA,
33508,2018,FRNKLN LBRT U.S.  GRD CO ETF,NA,
33511,2018,FIRST TRT EX TRADED FUND VI,NA,
33512,2018,GLOBAL X ARTFCL INT& BG ETF,NA,
33513,2018,PACER BNCHMRK INDT RL ETF,NA,
33514,2018,RBC U.S. BNKS YLD INX ETF,NA,
33515,2018,RBC U.S. BNKS YLD CD HDG ETF,NA,
33523,2018,SALT HIGH TRUBETA US MKT ETF,NA,
33524,2018,PACER BNCHMRK RTL RL ETF,NA,
33525,2018,PACER BNCHMK DT & INFST ETF,NA,
33526,2018,VIRTUS INFRACP U.S. PFD ETF,NA,
33528,2016,EURODRY LTD,1731388,
33531,2015,GREENSKY INC,1712923,82-2135346
33532,2016,CLPS INC,1724542,
33533,2015,EVO PAYMENTS INC,1704596,82-1304484
33534,2018,FIRST TRUST INTL CPT SGT ETF,NA,
33541,2016,STEPPE GOLD LTD,NA,
33542,2015,SPIRIT MTA REIT,1722992,82-6712510
33550,2017,WRAP TECHNOLOGIES,1702924,98-0551945
33557,2016,KULR TECHNOLOGY GROUP,1662684,81-1004273
33561,2015,ALMADEX MINERALS LTD,NA,
33570,2018,INVESCO SP 500 EQ WT IDX ETF,NA,
33573,2016,NRC GROUP HOLDINGS CORP,1703038,81-4838205
33577,2018,SCOTIA SRTGC CNDN EQTY ETF,NA,
33578,2018,SCOTIA STRTGC FXD INC ETF,NA,
33579,2018,SCOTIA STRTGC INTRTN EQT ETF,NA,
33580,2018,SCOTIA STRTGC U.S. EQTY ETF,NA,
33583,2018,HARTFORD SHORT DURATION ETF,NA,
33587,2016,M17 ENTERTAINMENT -ADR -REDH,1731946,
33588,2014,COVIA HOLDINGS CORP,1722287,13-2656671
33589,2018,FRANKLIN LBRTY INTL AGG ETF,NA,
33590,2018,FRANKLIN LRTY HGH YLD ETF,NA,
33591,2018,FRANKLIN LBRTY SNR LN ETF,NA,
33595,2016,MEIRAGTX HOLDINGS,1735438,
33596,2016,CHARAH SOLUTIONS,1730346,82-4228671
33597,2016,VERRICA PHARMACEUTICAL,1660334,46-3137900
33598,2013,US XPRESS ENTRPRS INC,923571,62-1378182
33599,2016,AFG HOLDINGS INC -REDH,1735618,80-0872623
33600,2016,TRICIDA INC,1595585,46-3372526
33601,2016,TRANSLATE BIO INC,1693415,61-1807780
33602,2016,CBM BANCORP INC,1742089,83-1095537
33603,2016,DOMO INC,1505952,27-3687433
33610,2015,AVALARA INC,1348036,91-1995935
33612,2018,FIRST TR TCW UNCON PL BD ETF,NA,
33613,2018,O'SHARES GLOBAL INTRNT GIANT,NA,
33614,2016,ELECTROCORE LLC,1560258,20-3454976
33616,2016,PUXIN LTD -ADS,1726189,
33620,2018,AMPLIFY ADVANCED BATTERY MET,NA,
33621,2016,GS ACQUISITION HLDGS CORP,1674101,81-2376902
33622,2018,AI POWERED INTRNTNL EQTY ETF,NA,
33624,2016,HYRECAR INC,1713832,47-2480487
33625,2016,AMALGAMATED BK NEW YORK N Y,919192,13-4920330
33630,2018,ISHARES GOLD STRATEGY ETF,NA,
33631,2016,KEZAR LIFE SCIENCES,1645666,47-3366145
33635,2016,AUTOLUS THERAPEUTICS -ADR,1730463,
33637,2013,BRIGHTVIEW HOLDINGS,1734713,46-4190788
33638,2016,I3 VERTICALS INC,1728688,82-4052852
33640,2018,FAR POINT ACQ CORP,1735858,82-4710750
33641,2016,EIDOS THERAPEUTICS INC,1731831,46-3733671
33642,2018,JPMORGAN UTR-SRT MCPL INC,NA,
33643,2016,APTINYX INC,1674365,47-4626057
33647,2013,VEONEER INC,1733186,82-3720890
33650,2018,GOLDMAN SCH JST U.S. LGR ETF,NA,
33651,2018,CI FIRST ASST HLTH CRE GNT,NA,
33652,2014,SKYLINE CHAMPION CORP,90896,35-1038277
33657,2016,AVROBIO INC,1681087,81-0710585
33658,2016,DERMADOCTOR INC -REDH,1664180,81-0919478
33660,2016,XERIS PHARMATICALS INC,1346302,20-3352427
33662,2018,HIGH YIELD FCTR FIDELITY ETF,NA,
33663,2018,AMPLIFY EASI TACTICL GRO ETF,NA,
33664,2016,NEON THERAPEUTICS INC,1694187,46-3915846
33666,2018,FIDELTY LW DRTN BND FCTR ETF,NA,
33668,2016,BLOOM ENERGY CORP,1664703,77-0565408
33684,2016,ESSENTIAL PPT RLTY TST,1728951,82-4005693
33685,2018,JPMORGAN BETBLDR MSCI US ETF,NA,
33686,2018,JPMORGAN BETABULDR JAPAN ETF,NA,
33688,2018,JPMORGAN BETABULDR EUROP ETF,NA,
33691,2017,LF CAP ACQ CORP,1721386,82-2196021
33692,2018,COMMUNCTN SRVC SLCT SCTR ETF,NA,
33693,2017,REPAY HOLDINGS CORP,1720592,
33694,2013,EVERQUOTE INC,1640428,26-3101161
33695,2016,COASTAL FINANCIAL CORP,1437958,56-2392007
33696,2016,FORTY SEVEN INC,1667633,47-4065674
33697,2016,UXIN LTD -ADR,1729173,
33698,2016,NEURONETICS INC,1227636,33-1051425
33700,2012,AMERICAN MIDSTREAM PTNRS LP,1513965,
33702,2017,TWELVE SEAS INVESTMENT CO,1726146,
33703,2015,TILRAY INC,1731348,82-4310622
33704,2016,FIRST WSTRN FINNCIL INC,1327607,37-1442266
33705,2018,REALITY SHR NSD NXGN CHN ETF,NA,
33708,2015,RETAIL VALUE INC,1735184,82-4182996
33713,2018,ROGERS AI GLOBAL MACRO ETF,NA,
33714,2018,HORIZON BLCKCN TCH HRDWR ETF,NA,
33718,2013,BJS WHSL CLUB HLDGS INC,1531152,45-2936287
33719,2016,REPLIMUNE GROUP INC,1737953,82-2082553
33720,2016,RUBIUS THERAPEUTICS INC,1709401,46-2688109
33721,2016,ALLAKOS INC,1564824,45-4798831
33722,2016,GOODBULK LTD-REDH,1734993,
33723,2016,CRINETICS PHARMCTCL INC,1658247,26-3744114
33724,2016,CONSTELLATION PHARMCTCL,1434418,26-1741721
33725,2016,SUMMIT WIRELESS TECH INC,1682149,30-1135279
33731,2019,HL ACQUISITION CORP,1736874,
33733,2016,LEGACY HOUSING CORP,1436208,20-2897516
33734,2018,NEW FRONTIER CORP,1737422,
33739,2018,ISHARE RBTC ARTFCL INTLG-ETF,NA,
33740,2018,KRANESHARE CCBS CHN CPRT ETF,NA,
33743,2016,AQUESTIVE THERAPETC INC,1398733,82-3827296
33744,NA,MINTO APARTMENT,NA,
33747,2018,E SPLIT CORP,NA,
33748,2018,ALPS CLEAN ENERGY ETF,NA,
33749,2016,BIONANO GENOMICS INC,1411690,26-1756290
33750,2013,IAA INC,1745041,83-1030538
33751,2016,PROVENTION BIO INC,1695357,81-5245912
33756,2016,WAH FU EDUCATION GROUP LTD,1716770,
33758,2017,ALLEGRO MERGER CORP,1720025,82-2425125
33759,2015,TENABLE HOLDINGS INC,1660280,47-5580846
33760,2018,GREENLAND ACQSTN CORP,1735041,
33763,2017,TOTTENHAM ACQUSITN LTD,1731176,
33764,2015,MAV BEAUTY BRANDS INC,NA,
33766,2016,ARLO TECHNOLOGIES INC,1736946,38-4061754
33767,2013,SONOS INC,1314727,03-0479476
33779,2015,ESTABLISHMNT LBS HLDNG,1688757,
33780,2016,VACCINEX INC,1205922,16-1603202
33781,2016,TOUGHBUILT INDUSTRIES,1668370,46-0820877
33787,2018,CLEARSHAR ULTR SHRT MTRY ETF,NA,
33788,2018,ADVISORSHR DRSY WRGT SHR ETF,NA,
33790,2018,ADVISORSHR DRSY WGT MRCP ETF,NA,
33798,2017,YAYYO INC -REDH,1691077,81-3028414
33809,2015,CUSHMAN & WAKEFIELD,1628369,98-1193584
33810,2016,LIQUIDIA TECHNOLOGIES,1330436,20-1926605
33816,2016,UROVANT SCIENCES LTD,1740547,98-1463899
33817,2016,PUHUI WLTH INV MNGT CO,1729089,
33818,2018,PROSHARES ONLINE RETAIL ETF,NA,
33823,2016,REMORA ROYALTIES INC -REDH,1740321,82-5502778
33824,2017,RA MEDICAL SYSTEMS INC,1716621,38-3661826
33825,2016,PINTEC TCHN HLDN -ADR,1716338,
33826,2018,GLOBAL X SP 500 QUAL DIV ETF,NA,
