,Unnamed: 0,ABS ASSET CLASS:            ,BUSINESS PHONE,CENTRAL INDEX KEY,CITY,COMPANY CONFORMED NAME,CONFORMED PERIOD OF REPORT,DATE AS OF CHANGE,DATE OF NAME CHANGE,FILED AS OF DATE,FILM NUMBER,FISCAL YEAR END,FORM TYPE,FORMER CONFORMED NAME,IRS NUMBER,SEC ACT,SEC FILE NUMBER,STANDARD INDUSTRIAL CLASSIFICATION,STATE,STATE OF INCORPORATION,STREET 1,STREET 2,ZIP
10891,1530185,,877-571-1776,1530185,LAS VEGAS,AMERITEK VENTURES,,,20110916.0,,181117545.0,531.0,10-K,ATVROCKN,274594495.0,1934 Act,000-54739,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NV,NV,1980 FESTIVAL PLAZA DR,SUITE 530,89135
11023,1537660,,203-205-2900,1537660,DANBURY,Armored AutoGroup Inc.,,,,,15729529.0,1231.0,10-K,,273620112.0,1934 Act,333-180736,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],CT,DE,39 OLD RIDGEBURY ROAD,,06810
11081,1541165,,852-3693 0998,1541165,WANCHAI,US Parts Online Inc,,,,,15705855.0,1130.0,10-K,,392078722.0,1934 Act,333-179765,MOTOR VEHICLE PARTS & ACCESSORIES [3714],K3,NV,"ROOM 2812 28/F, OFFICE TOWER","CONVENTION PLAZA, 1 HARBOUR ROAD",00000
11488,1563568,,(951) 407-9860 X205,1563568,CORONA,"ADOMANI, INC.",,,20121203.0,,19846145.0,1231.0,10-K/A,"Adomani, Inc.",0.0,1934 Act,001-38078,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,DE,4740 GREEN RIVER ROAD,SUITE 106,92880
11753,1577898,,404-589-8000,1577898,ATLANTA,"Green Parts International, Inc.",,,,,161570821.0,1231.0,10-K,,205535892.0,1934 Act,000-54971,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],GA,NV,844 REGINA DR.,,30318
11941,1586495,,818-299-0653,1586495,BEVERLY HILLS,Blow & Drive Interlock Corp,,,20130911.0,,191046705.0,1231.0,10-K/A,Jam Run Acquisition Corp,463590850.0,1934 Act,000-55053,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,DE,137 SOUTH ROBERTSON BOULEVARD,SUITE 129,90211
12307,1607721,,44 1455 290363,1607721,MARKET BOSWORTH,"Arazu, Inc",,,,,181077483.0,1231.0,10-K,,464994535.0,1934 Act,333-221327,MOTOR VEHICLE PARTS & ACCESSORIES [3714],X0,FL,THE OFFICE- 23 BARTON ROAD,,CV13 0LQ
12439,1615153,,630-480-6413,1615153,WESTCHESTER,"Fenix Parts, Inc.",,,,,171035224.0,,10-K,,464421625.0,1934 Act,001-37382,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],IL,DE,1 WESTBROOK CORPORATE CENTER,SUITE 920,60154
12471,1616817,,248-727-1800,1616817,SOUTHFIELD,Metaldyne Performance Group Inc.,,,,,17742234.0,1231.0,10-K/A,,471420222.0,1934 Act,001-36774,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,ONE TOWNE SQUARE,SUITE 550,48076
12486,1617669,,248-853-2333,1617669,AUBURN HILLS,"Unique Fabricating, Inc.",,,,,191141048.0,1229.0,10-K/A,,461846791.0,1934 Act,001-37480,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,800 STANDARD PARKWAY,,48326
12548,1621199,,(852) 2468 - 3012,1621199,TORONTO,UNION BRIDGE HOLDINGS LTD.,,,20141001.0,,19672022.0,1231.0,10-K,COSTO INC.,320440076.0,1934 Act,000-55731,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],A6,NV,301-3650 VICTORIA PARK AVENUE,,M2H 3P7
12807,1637655,,2485938820,1637655,TROY,Horizon Global Corp,,,,,19783465.0,1231.0,10-K/A,,0.0,1934 Act,001-37427,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,2600 WEST BIG BEAVER ROAD,SUITE 555,48084
13249,1670541,,1-414-524-1200,1670541,DUBLIN,Adient plc,,,20160328.0,,19915328.0,930.0,10-K/A,Adient Ltd,0.0,1934 Act,001-37757,MOTOR VEHICLE PARTS & ACCESSORIES [3714],L2,L2,25-28 NORTH WALL QUAY,,1
13462,1687221,,414-290-0190,1687221,MILWAUKEE,"REV Group, Inc.",,,,,19732574.0,1031.0,10-K/A,,263013415.0,1934 Act,001-37999,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],WI,DE,111 EAST KILBOURN AVENUE,SUITE 2600,53202
13685,1707092,,011-44-020-305-74300,1707092,LONDON,Delphi Technologies PLC,,,20170518.0,,19621827.0,1231.0,10-K,Delphi Jersey Holdings plc,981367514.0,1934 Act,001-38110,MOTOR VEHICLE PARTS & ACCESSORIES [3714],X0,Y9,ONE ANGEL COURT,10TH FLOOR,EC2R 7HJ
13802,1733186,,248-223-0600,1733186,SOUTHFIELD,"Veoneer, Inc.",,,,,19624609.0,1231.0,10-K,,823720890.0,1934 Act,001-38471,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,,26545 AMERICAN DRIVE,,48034
13810,1735707,,41-21-695-3000,1735707,ROLLE,Garrett Motion Inc.,,,20180327.0,,19650175.0,1231.0,10-K,Garrett Transportation Systems Inc.,824873189.0,1934 Act,001-38636,MOTOR VEHICLE PARTS & ACCESSORIES [3714],V8,DE,LA PIECE 16,,1180
13995,714284,,86-577-65817720,714284,"RUIAN CITY, ZHEJIANG",SORL Auto Parts Inc,,,19830131.0,,19720965.0,1231.0,10-K,ENCHANTED VILLAGE INC,300091294.0,1934 Act,000-11991,MOTOR VEHICLE PARTS & ACCESSORIES [3714],F4,DE,"NO. 1169 YUMENG ROAD, KNIAN",RUIAN ECONOMIC DEVELOPMENT ZONE,325200
14164,728303,,4084368611,728303,SAN JOSE,COAST DISTRIBUTION SYSTEM INC,,,19880619.0,,15815522.0,1231.0,10-K/A,COAST RV INC,942490990.0,1934 Act,001-09511,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS [5013],CA,DE,1982 ZANKER RD,,95112
14265,743238,,5175436400,743238,CHARLOTTE,SPARTAN MOTORS INC,,,,,19659742.0,1231.0,10-K,,382078923.0,1934 Act,001-33582,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],MI,MI,1000 REYNOLDS RD,P O BOX 440,48813
14408,763744,,5745351125,763744,ELKHART,LCI INDUSTRIES,,,19920703.0,,19637327.0,1231.0,10-K,DREW INDUSTRIES INC,133250533.0,1934 Act,001-13646,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IN,DE,3501 COUNTY ROAD 6 EAST,,46514
14502,773840,,9734552000,773840,MORRIS PLAINS,HONEYWELL INTERNATIONAL INC,,,19940929.0,,19579229.0,1231.0,10-K,ALLIEDSIGNAL INC,222640650.0,1934 Act,001-08974,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NJ,DE,115 TABOR ROAD,,07950
14511,775158,,920 235 9151,775158,OSHKOSH,OSHKOSH CORP,,,19920703.0,,181195259.0,930.0,10-K,OSHKOSH TRUCK CORP,390520270.0,1934 Act,001-31371,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],WI,WI,2307 OREGON ST P O BOX 2566,2307 OREGON ST P O BOX 2566,54903
14809,808450,,331-332-5000,808450,LISLE,NAVISTAR INTERNATIONAL CORP,,,19870528.0,,181239292.0,1031.0,10-K,NAVISTAR HOLDING INC,363359573.0,1934 Act,001-09618,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],IL,DE,2701 NAVISTAR DRIVE,,60532
14886,813762,,212-702-4300,1034563,NEW YORK,ICAHN ENTERPRISES HOLDINGS L.P.,,,19980311.0,,19649430.0,1231.0,10-K,AMERICAN REAL ESTATE HOLDINGS L P,133398767.0,1934 Act,333-118021-01,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NY,DE,767 FIFTH AVENUE,SUITE 4600,10153
14933,817979,,8129625000,817979,EVANSVILLE,ACCURIDE CORP,,,,,161467622.0,1231.0,10-K,,611109077.0,1934 Act,001-32483,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IN,DE,7140 OFFICE CIRCLE,7140 OFFICE CIRCLE,47715
15177,842162,,2484471500,842162,SOUTHFIELD,LEAR CORP,,,19900723.0,,19566495.0,1231.0,10-K,LEAR SIEGLER SEATING CORP,133386776.0,1934 Act,001-11311,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,21557 TELEGRAPH ROAD,,48033
15304,854860,,5036848600,854860,PORTLAND,WILLIAMS CONTROLS INC,,,,,121258704.0,930.0,10-K,,841099587.0,1934 Act,001-33066,MOTOR VEHICLE PARTS & ACCESSORIES [3714],OR,DE,14100 SW 72ND AVENUE,,97224
15473,868780,,2159971800,868780,COLMAR,"Dorman Products, Inc.",,,19930328.0,,19634045.0,1229.0,10-K,R & B INC,232078856.0,1934 Act,000-18914,MOTOR VEHICLE PARTS & ACCESSORIES [3714],PA,PA,3400 E WALNUT ST,,18915
15882,894557,,702-448-8150,894557,BOWMANVILLE,BRISAM CORP,20081231.0,20090424.0,19940531.0,20090331.0,9717367.0,1231.0,10-K/A,PERIPHERAL CONNECTIONS INC,870485315.0,1934 Act,033-55254-39,MOTOR VEHICLE PARTS & ACCESSORIES [3714],A6,NV,182 WELLINGTON ST WEST,,L1C 1W3
15988,903129,,248-504-0500,903129,NORTHVILLE,GENTHERM Inc,,,19930503.0,,19634197.0,1231.0,10-K,AMERIGON INC,954318554.0,1934 Act,000-21810,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,MI,21680 HAGGERTY ROAD,,48167-8994
16028,908255,,2487549200,908255,AUBURN HILLS,BORGWARNER INC,,,19930628.0,,19614034.0,1231.0,10-K,BORG WARNER AUTOMOTIVE INC,133404508.0,1934 Act,001-12162,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,3850 HAMLIN RD.,,48326
16061,910619,,5416868011,910619,COBURG,MONACO COACH CORP /DE/,,,,,8686152.0,1229.0,10-K,,351880244.0,1934 Act,001-14725,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],OR,DE,91320 COBURG INDUSTRIAL WAY,,97408
16150,914257,,877-214-2882,914257,EDMONTON,"Global Enviro Solutions, Inc.",,,19931029.0,,10909768.0,1231.0,10-K,GREEN OASIS ENVIRONMENTAL INC,570970282.0,1934 Act,033-68304-02,MOTOR VEHICLES & PASSENGER CAR BODIES [3711],A0,FL,17310 - 106 AVE. NW,,T5S 1H9
16211,918251,,3109724015,918251,TORRANCE,MOTORCAR PARTS AMERICA INC,,,19940128.0,,19929222.0,331.0,10-K,MOTORCAR PARTS & ACCESSORIES INC,112153962.0,1934 Act,001-33861,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,NY,2929 CALIFORNIA STREET,,90503
16448,933034,,4142473333,933034,MILWAUKEE,STRATTEC SECURITY CORP,,,,,191076126.0,630.0,10-K,,391804239.0,1934 Act,000-25150,MOTOR VEHICLE PARTS & ACCESSORIES [3714],WI,WI,3333 W GOOD HOPE ROAD,,53209
16620,948844,,2034016450,948844,NEW HAVEN,"PROLIANCE INTERNATIONAL, INC.",,,19950802.0,,9701646.0,1231.0,10-K,TRANSPRO INC,341807383.0,1934 Act,001-13894,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CT,DE,100 GANDO DRIVE,,06513
16679,1001463,,727-678-4420,1001463,CLEARWATER,"Acacia Diversified Holdings, Inc.",,,19950927.0,,19719934.0,1231.0,10-K,GIBBS CONSTRUCTION INC,752095676.0,1934 Act,001-14088,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],FL,TX,13575 58TH STREET NORTH - #138,,33760
16794,1006840,,86-898-66186181,1006840,HAINAN PROVINCE,"Cang Bao Tian Xia International Art Trade Center, Inc.",,,20000717.0,,191101397.0,630.0,10-K,EQUICAP INC,470925451.0,1934 Act,000-31091,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],F4,,"5-1-1206 HEFENG JIANGAN, NIANQING RD.","MEILAN DISTRICT, HAIKOU",570203
16925,1016177,,6123422311,1016177,MINNEAPOLIS,DURA AUTOMOTIVE SYSTEMS INC,,,,,81154539.0,1231.0,10-K,,383185711.0,1934 Act,000-21139,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MN,DE,4508 IDS CENTER,,55402
16991,1019787,,5615479499,1019787,BOYNTON BEACH,PURADYN FILTER TECHNOLOGIES INC,,,19960726.0,,19704226.0,1231.0,10-K,T F PURIFINER INC,141708544.0,1934 Act,001-11991,MOTOR VEHICLE PARTS & ACCESSORIES [3714],FL,DE,2017 HIGH RIDGE ROAD,,33426
17028,1022097,,646-308-1503,1022097,NEW YORK,"TURBODYNE TECHNOLOGIES, INC",,,19960904.0,,15530137.0,1231.0,10-K,TURBODYNE TECHNOLOGIES INC,954699061.0,1934 Act,000-21391,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NY,NV,250 WEST 57TH STREET,SUITE 2328,10107
17085,1024725,,847-482-5000,1024725,LAKE FOREST,TENNECO INC,,,19961011.0,,19686517.0,1231.0,10-K,NEW TENNECO INC,760515284.0,1934 Act,001-12387,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IL,DE,500 N FIELD DR,ROOM T 2560B,60045
17204,1034258,,248-519-0700,1034258,TROY,"NOBLE INTERNATIONAL, LTD.",,,19970515.0,,8787147.0,1231.0,10-K/A,NOBLE INTERNATIONAL LTD,383139487.0,1934 Act,001-13581,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,DE,840 W. LONG LAKE ROAD,SUITE 601,48098
17205,1034563,,212-702-4300,1034563,NEW YORK,ICAHN ENTERPRISES HOLDINGS L.P.,,,19980311.0,,19649430.0,1231.0,10-K,AMERICAN REAL ESTATE HOLDINGS L P,133398767.0,1934 Act,333-118021-01,MOTOR VEHICLE PARTS & ACCESSORIES [3714],NY,DE,767 FIFTH AVENUE,SUITE 4600,10153
17209,1034670,,8016299800,1034670,SWEDEN,AUTOLIV INC,,,,,19620879.0,1231.0,10-K,,510378542.0,1934 Act,001-12933,MOTOR VEHICLE PARTS & ACCESSORIES [3714],V7,DE,BOX 70381,SE 107 24 STOCKHOLM,84405
17334,1041609,,515-899-2164,1041609,RADCLIFFE,MIRENCO INC,,,,,11759686.0,1231.0,10-K,,391878581.0,1934 Act,000-32819,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IA,IA,206 MAY STREET,P.O. BOX 343,50230
17379,1043337,,2484899300,1043337,NOVI,STONERIDGE INC,,,,,19639252.0,1231.0,10-K,,341598949.0,1934 Act,001-13337,MOTOR VEHICLE PARTS & ACCESSORIES [3714],MI,OH,39675 MACKENZIE DRIVE,SUITE 400,48377
17436,1046131,,630-438-30,1046131,ITASCA,MIDAS INC,,,19970915.0,,12764352.0,1226.0,10-K/A,MIDAS GROUP INC,364180556.0,1934 Act,001-13409,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES [5010],IL,DE,1300 ARLINGTON HEIGHTS ROAD,,60143
17450,1046859,,800-372-3555,1046859,PENDLETON,"REMY INTERNATIONAL, INC.",,,19970924.0,,15665926.0,1231.0,10-K,DELCO REMY INTERNATIONAL INC,351909253.0,1934 Act,001-13683,MOTOR VEHICLE PARTS & ACCESSORIES [3714],IN,DE,600 CORPORATION DRIVE,,46064
