,ABS ASSET CLASS:            ,BUSINESS PHONE,CENTRAL INDEX KEY,CITY,COMPANY CONFORMED NAME,CONFORMED PERIOD OF REPORT,DATE AS OF CHANGE,DATE OF NAME CHANGE,FILED AS OF DATE,FILM NUMBER,FISCAL YEAR END,FORM TYPE,FORMER CONFORMED NAME,IRS NUMBER,SEC ACT,SEC FILE NUMBER,STANDARD INDUSTRIAL CLASSIFICATION,STATE,STATE OF INCORPORATION,STREET 1,STREET 2,ZIP
47111,,7175344200,0000047111,HERSHEY,HERSHEY CO,,,19680401,,19625377,1231,10-K,HERSHEY CHOCOLATE CORP,230691590,1934 Act,001-00183,SUGAR & CONFECTIONERY PRODUCTS [2060],PA,DE,19 EAST CHOCOLATE AVENUE,EXTERNAL RPTG & COMPLIANCE,17033
1095691,,7029389271,0001095691,LAS VEGAS,DigitalFX International Inc,,,19990924,,09697412,1231,10-K,QORUS COM INC,650358792,1934 Act,001-33667,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373],NV,FL,3035 EAST PATRICK LANE,SUITE 9,89120
47129,,(239) 301-7000,0000047129,ESTERO,HERTZ CORP,,,20151109,,19629548,1231,10-K,"Hertz Rental Car Holding Company, Inc.",131938568,1934 Act,001-07541,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS) [7510],FL,DE,8501 WILLIAMS ROAD,3RD FLOOR,33928
1095751,,480-993-2300,0001095751,SCOTTSDALE,"SKYE INTERNATIONAL, INC",,,19990927,,10752641,1231,10-K,NOSTALGIA MOTORCARS INC,880362112,1934 Act,000-27549,RETAIL-AUTO DEALERS & GASOLINE STATIONS [5500],AZ,NV,"7701 E. GRAY ROAD, SUITE 4",,85260
47217,,6508571501,0000047217,PALO ALTO,HP INC,,,19920703,,181233269,1031,10-K,HEWLETT PACKARD CO,941081436,1934 Act,001-04423,COMPUTER & OFFICE EQUIPMENT [3570],CA,DE,1501 PAGE MILL ROAD,,94304
1095858,,305-324-2300,0001095858,MIAMI,"ERBA Diagnostics, Inc.",,,19990928,,15869254,1231,10-K,B2BSTORES COM INC,113500746,1934 Act,001-14798,PHARMACEUTICAL PREPARATIONS [2834],FL,DE,2140 NORTH MIAMI AVENUE,,33127
47307,,2165418060,0000047307,CLEVELAND,HICKOK INC,,,19920703,,19715632,1231,10-K,HICKOK ELECTRICAL INSTRUMENT CO,340288470,1934 Act,000-00147,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL [3823]",OH,OH,10514 DUPONT AVE,,44108
1095981,,8584580900,0001095981,SAN DIEGO,"CYTORI THERAPEUTICS, INC.",,,20010320,,19713997,1231,10-K,MACROPORE INC,330827593,1934 Act,001-34375,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841],CA,DE,3020 CALLAN ROAD,,92121
1095996,,9498333600,0001095996,NEWPORT BEACH,WILLIAM LYON HOMES,,,19990929,,19643743,1231,10-K,PRESLEY MERGER SUB INC,330864902,1934 Act,001-31625,OPERATIVE BUILDERS [1531],CA,DE,4695 MACARTHUR COURT,8TH FLOOR,92660
1096056,,44161300-0600,0001096056,MANCHESTER,LUXFER HOLDINGS PLC,,,,,19673499,1231,10-K,,000000000,1934 Act,001-35370,INDUSTRIAL INORGANIC CHEMICALS [2810],X0,X0,LUMNS LANE,,M27 8LN
1096088,,858-552-4466,0001096088,LA JOLLA,ONE VOICE TECHNOLOGIES INC,,,,,09837217,1231,10-K,,954714338,1934 Act,000-27589,SERVICES-PREPACKAGED SOFTWARE [7372],CA,NV,7660 FAY AVENUE,,92037
47518,,(312) 819-7200,0000047518,CHICAGO,"Hill-Rom Holdings, Inc.",,,19920703,,181190803,0930,10-K,HILLENBRAND INDUSTRIES INC,351160484,1934 Act,001-06651,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841],IL,IN,130 EAST RANDOLPH STREET,SUITE 1000,60601
1096132,,855-297-3876,0001096132,WESTON,"PETRONE WORLDWIDE, INC.",,,19991001,,17812875,1231,10-K,DIABETEX INTERNATIONAL CORP,870652348,1934 Act,000-30380,SERVICES-MANAGEMENT CONSULTING SERVICES [8742],FL,NV,2200 N. COMMERCE PARKWAY,,33326
1096142,,7709516450,0001096142,ATLANTA,GENTIVA HEALTH SERVICES INC,,,19991001,,141224288,1231,10-K/A,OLSTEN HEALTH SERVICES HOLDING CORP,364335801,1934 Act,001-15669,SERVICES-HOME HEALTH CARE SERVICES [8082],GA,DE,3350 RIVERWOOD PARKWAY,SUITE 1400,30339
1096187,,310-265-8918,0001096187,ROLLING HILLS,"SHEERVISION, INC.",,,19991004,,091242642,0630,10-K,NU ELECTRIC CORP,232426437,1934 Act,000-27629,OPTICAL INSTRUMENTS & LENSES [3827],CA,DE,4030 PALOS VERDES DRIVE N.,SUITE 104,90274
1096199,,(877) 433-5638,0001096199,"FAIRFAX,","Geeknet, Inc",,,19991004,,15637951,1231,10-K,VA LINUX SYSTEMS INC,770399299,1934 Act,000-28369,"RETAIL-RETAIL STORES, NEC [5990]",VA,VA,"11216 WAPLES MILL RD.,",SUITE 100,22030
1096208,,3522649940,0001096208,GAINESVILLE,ABAZIAS INC,,,19991004,,09718366,1231,10-K,SKINTEK LABS INC,650636227,1934 Act,000-27565,RETAIL-JEWELRY STORES [5944],FL,DE,5214 SW 91ST TERRACE SUITE A,.,32608
1096264,,6046757637,0001096264,CANADA,LITEWAVE CORP,,,,,09742928,1231,10-K,,954763671,1934 Act,000-27713,CRUDE PETROLEUM & NATURAL GAS [1311],A1,NV,510 WEST HASTINGS STREET SUITE 1010,VANCOUVER BC,V6B 1L8
1096275,,1-888-554-8789,0001096275,VAUGHAN,"Franchise Holdings International, Inc.",,,19991005,,19819206,1231,10-K,TMANGLOBAL COM INC,650782227,1934 Act,000-27631,MOTOR VEHICLE PARTS & ACCESSORIES [3714],A6,NV,3120 RUTHERFORD RD,SUITE 414,L4K OB2
1096294,,5205771516,0001096294,TUCSAN,GFR PHARMACEUTICALS INC,,,19991005,,13727792,1231,10-K,LAREDO INVESTMENT CORP,770517964,1934 Act,000-27959,PHARMACEUTICAL PREPARATIONS [2834],AZ,NV,9160 E. DEER TRAIL,9160 E. DEER TRAIL,85710
1096296,,(403) 288-4321,0001096296,FERNDALE,MINERALRITE Corp,,,20000222,,141032088,1231,10-K/A,MENTOR ON CALL INC,770517966,1934 Act,000-27739,METAL MINING [1000],WA,NV,7044 PORTAL WAY,UNIT K-110,98248
1096298,,4805050070,0001096298,AUSTIN,"ASIA8, INC.",,,19991005,,13753012,1231,10-K,H&L INVESTMENTS INC,770438927,1934 Act,000-27735,"RETAIL-RETAIL STORES, NEC [5990]",TX,NV,700 LAVACA STREET,SUITE 1400,78701
1096325,,408-546-3375,0001096325,MILPITAS,INTERSIL CORP/DE,,,19991005,,17632883,1231,10-K/A,INTERSIL HOLDING CO,593590018,1934 Act,000-29617,SEMICONDUCTORS & RELATED DEVICES [3674],CA,DE,1001 MURPHY RANCH ROAD,,95035
1096339,,7134581560,0001096339,HOUSTON,SARATOGA RESOURCES INC /TX,,,,,15772547,1231,10-K,,760314489,1934 Act,001-35241,OIL AND GAS FIELD EXPLORATION SERVICES [1382],TX,TX,9225 KATY FREEWAY,SUITE 100,77024
1096343,,8047470136,0001096343,GLEN ALLEN,MARKEL CORP,,,19991005,,19644492,1231,10-K,MARKEL HOLDINGS INC,541959284,1934 Act,001-15811,"FIRE, MARINE & CASUALTY INSURANCE [6331]",VA,VA,4521 HIGHWOODS PKWY,,23060
1096376,,2157065332,0001096376,FORT WASHINGTON,NUTRI SYSTEM INC /DE/,,,,,19644045,1231,10-K/A,,233012204,1934 Act,000-28551,RETAIL-CATALOG & MAIL-ORDER HOUSES [5961],PA,DE,FORT WASHINGTON EXECUTIVE CENTER,600 OFFICE CENTER DRIVE,19034
1096385,,8124914000,0001096385,EVANSVILLE,VECTREN CORP,,,,,18627462,1231,10-K,,352086905,1934 Act,001-15467,GAS & OTHER SERVICES COMBINED [4932],IN,IN,ONE VECTREN SQUARE,,47708
1096481,,604-221-7676,0001096481,VANCOUVER,ANGIOTECH PHARMACEUTICALS INC,,,,,13725206,1231,10-K,,000000000,1934 Act,000-30334,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841],A1,,1618 STATION STREET,,V6A 1B6
1096550,,256-453-5335,0001096550,LEESBURG,"ENERGY QUEST, INC.",,,19991008,,13758114,1231,10-K,FAIRCHILD INTERNATIONAL CORP,911880015,1934 Act,000-28305,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS) [1400]",GA,NV,103 FIRETOWER ROAD,,31763
1096555,,888-648-9366,0001096555,TORONTO,"Myriad Interactive Media, Inc.",,,19991008,,141172062,0630,10-K/A,PLANET411 COM INC,880258277,1934 Act,000-27645,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374],A6,DE,7 INGRAM DRIVE SUITE 128,,M6M 2L7
1096560,,713-896-9100,0001096560,"HOUSTON,",SULPHCO INC,,,19991008,,11789419,1231,10-K/A,FILMWORLD INC,880224817,1934 Act,001-32636,"OIL, GAS FIELD SERVICES, NBC [1389]",TX,NV,"4333 W. SAM HOUSTON PKWY N.,",SUITE 190,77043
1096613,,2065237065,0001096613,SEATTLE,FIRST TRANSACTION MANAGEMENT INC,,,19991008,,111148060,1231,10-K/A,CREATIVE PRODUCTS INTERNATIONAL INC,522158936,1934 Act,000-27615,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTAINERS/BOXES) [2670],WA,DE,PO BOX 9288,,98109
48039,,2148713555,0000048039,DALLAS,HollyFrontier Corp,,,19680508,,19619353,1231,10-K,GENERAL APPLIANCE CORP,751056913,1934 Act,001-03876,PETROLEUM REFINING [2911],TX,DE,2828 N. HARWOOD,SUITE 1300,75201
1096620,,61 2 9640 5253,0001096620,ALEXANDRIA,ADVANCED MEDICAL INSTITUTE INC.,,,19991012,,10703409,1231,10-K/A,HAWKSDALE FINANCIAL VISIONS INC,880409144,1934 Act,000-29531,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC [8090]",C3,NV,C/O ADVANCED MEDICAL INSTITUTE INC.,LEVEL 1 204-218 BOTANY ROAD,NSW 2015
1096637,,877 611 7284,0001096637,SANTA ANA,SaviCorp,,,19991012,,15941727,1231,10-K,GENE CELL INC,911766174,1934 Act,000-27727,MOTOR VEHICLE PARTS & ACCESSORIES [3714],CA,NV,2530 SOUTH BIRCH STREET,,92707
1096654,,3302620437,0001096654,WOOSTER,OHIO LEGACY CORP,,,,,13729536,1231,10-K,,341903890,1934 Act,000-31673,NATIONAL COMMERCIAL BANKS [6021],OH,OH,P O BOX 959,,44691
1096655,,7753485708,0001096655,RENO,"GLOBAL BEVERAGES, INC.",,,19991012,,10743357,0630,10-K,DAZZLING INVESTMENTS INC,880373061,1934 Act,000-28865, [9995],NV,NV,"C/O YARRAMAN WINERY, INC.",1105 TERMINAL WAY STE 202,89502
1096656,,7753485708,0001096656,LAS VEGAS,AVEROX INC.,,,19991012,,091124068,1231,10-K/A,FLICKERING STAR FINANCIAL INC,880407936,1934 Act,000-28867, [9995],NV,NV,C/O AVEROX INC.,"6767 W. TROPICANA AVENUE, SUITE 207",89146
1096662,,4076222040,0001096662,WINTER PARK,ETERNAL TECHNOLOGIES GROUP INC,,,19991012,,08747909,1231,10-K/A,SKREEM COM CORP,593565502,1934 Act,000-27929,AGRICULTURE PRODUCTION - LIVESTOCK & ANIMAL SPECIALTIES [0200],FL,DE,200 SOUTH KNOWLES AVE,,32790
1096738,,650-227-1700,0001096738,SAN MATEO,EPOCRATES INC,,,,,13680275,1231,10-K,,943326769,1934 Act,001-35062,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374],CA,DE,"1100 PARK PLACE, SUITE 300",,94403
1096752,,314-594-1900,0001096752,CHESTERFIELD,EDGEWELL PERSONAL CARE Co,,,19991013,,181190871,0930,10-K,ENERGIZER HOLDINGS INC,431863181,1934 Act,001-15401,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS [2844]",MO,MO,1350 TIMBERLAKE MANOR PARKWAY,,63017
1096759,,888-777-8777,0001096759,NORTH VANCOUVER,Sanwire Corp,,,20010510,,13775782,1231,10-K/A,1ST GENX INC,943342064,1934 Act,000-27715,GOLD & SILVER ORES [1040],A1,,1641 LONSDALE AVE,SUITE 106,V7M 2J5
1096768,,7758870670,0001096768,CARSON CITY,"VIDABLE, INC.",,,20010618,,12760705,1231,10-K,USA TELCOM INTERNATIONALE,880408213,1934 Act,000-49672,"SERVICES-SERVICES, NEC [8900]",NV,NV,1802 N. CARSON ST,SUITE 212-3018,89701
1096788,,7066458553,0001096788,WEST POINT,KNOLOGY INC,,,,,12789444,1231,10-K/A,,582424258,1934 Act,000-32647,RADIO TELEPHONE COMMUNICATIONS [4812],GA,DE,1241 O G SKINNER DRIVE,,318333
1096791,,4032631623,0001096791,CALGARY,Oilsands Quest Inc,,,19991013,,11959473,0430,10-K/A,URANIUM POWER CORP,980461154,1934 Act,001-32994,MISCELLANEOUS METAL ORES [1090],A0,,"800, 326 - 11TH AVENUE S.W.",,T2R 0C5
1096840,,3056666565,0001096840,"DAQING, HELONGJIANG,",Sunway Global Inc.,,,20000216,,14762003,1231,10-K,NATIONAL REHAB PROPERTIES NV INC,650439467,1934 Act,000-27159,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP [3530]",F4,NV,"C/O DAQING SUNWAY TECHNOLOGY CO., LTD.",DAQING HI-TECH INDUSTRY DEVELOPMENT ZONE,163316
1096841,,760-804-1449,0001096841,CARLSBAD,CASE FINANCIAL INC,20090930,20110114,19991014,20100618,10906115,0930,10-K/A,ACUBID COM INC,330529299,1934 Act,000-27757,"SERVICES-BUSINESS SERVICES, NEC [7389]",CA,DE,7720 EL CAMINO REAL,SUITE 2E,92009
1096857,,408-436-9888,0001096857,SAN JOSE,"DOCUMENT CAPTURE TECHNOLOGIES, INC.",,,20010321,,13761455,0831,10-K,BANKENGINE TECHNOLOGIES INC,900251401,1934 Act,000-27773,SERVICES-PREPACKAGED SOFTWARE [7372],CA,,1772 TECHNOLOGY DRIVE,,95110
48287,,5632727400,0000048287,MUSCATINE,HNI CORP,,,19681001,,19634229,1229,10-K,HOME O NIZE CO,420617510,1934 Act,001-14225,OFFICE FURNITURE (NO WOOD) [2522],IA,IA,600 EAST SECOND STREET,P O BOX 1109,52761
1096915,,502-636-2807,0001096915,LOUISVILLE,"SAVANNA EAST AFRICA, INC.",,,19991014,,101138143,0630,10-K,PCSUPPORT COM INC,980211769,1934 Act,000-27693,CRUDE PETROLEUM & NATURAL GAS [1311],KY,NV,"2520 SOUTH THIRD STREET, #206",,40208
1096934,,4342372657,0001096934,RICHMOND,"ENTERPRISE DIVERSIFIED, INC.",,,19991014,,19721073,1231,10-K,SITESTAR CORP,880397234,1934 Act,000-27763,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374],VA,NV,1518 WILLOW LAWN DRIVE,,23230
1096935,,321-452-9091,0001096935,MERRITT ISLAND,"American BioCare, Inc.",,,20010621,,11763474,1231,10-K,MNS EAGLE EQUITY GROUP INC /,841517715,1934 Act,000-27775,"INVESTORS, NEC [6799]",FL,NV,1365 N. COURTENAY PARKWAY,SUITE A,32953
1096938,,(877) 358-3444,0001096938,HENDERSON,"United Health Products, Inc.",,,19991019,,19721683,1231,10-K,MNS EAGLE EQUITY GROUP III INC,841517723,1934 Act,000-27781,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842]",NV,NV,10624 S. EASTERN AVE,STE. A209,89052
1096939,,(303) 690-8300,0001096939,ENGLEWOOD,Vista International Technologies Inc,,,19991019,,15738597,1231,10-K,MNS EAGLE EQUITY GROUP IV INC,841572525,1934 Act,000-27783,MISCELLANEOUS MANUFACTURING INDUSTRIES [3990],CO,DE,88 INVERNESS CIRCLE EAST,SUITE N-103,80112
1096950,,661-510-0978,0001096950,CORONA,Acology Inc.,,,19991015,,18727052,1231,10-K,PINECREST INVESTMENT GROUP INC,650207200,1934 Act,000-29381,MISCELLANEOUS PLASTIC PRODUCTS [3080],CA,,1620 #A COMMERCE STREET,,92880
1096958,,6504295500,0001096958,ROAD TOWN COUNTRY,OPENTV CORP,,,,,10739247,1231,10-K/A,,980212376,1934 Act,001-15473,SERVICES-COMPUTER PROGRAMMING SERVICES [7371],,,ABBOTT BUILDING,MOUNT STREET TORTOLA,
48465,,(507) 437-5611,0000048465,AUSTIN,HORMEL FOODS CORP /DE/,,,19920703,,181222997,1028,10-K,HORMEL GEO A & CO,410319970,1934 Act,001-02402,MEAT PACKING PLANTS [2011],MN,DE,1 HORMEL PLACE,,55912-3680
1097081,,9097983611,0001097081,REDLANDS,1ST CENTENNIAL BANCORP,,,19991018,,08675042,1231,10-K,CENTENNIAL FIRST FINANCIAL SERVICES,911995265,1934 Act,000-29105,STATE COMMERCIAL BANKS [6022],CA,CA,218 EAST STATE STREET,,92373
1097136,,949-362-4800,0001097136,IRVINE,SENORX INC,,,,,10685589,1231,10-K,,330787406,1934 Act,001-33382,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841],CA,DE,3 MORGAN,,92618
1097149,,408-470-1000,0001097149,SAN JOSE,ALIGN TECHNOLOGY INC,,,,,19640683,1231,10-K,,943267295,1934 Act,000-32259,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842]",CA,DE,2820 ORCHARD PARKWAY,,95134
1097264,,3034266262,0001097264,WESTMINSTER,ALLOS THERAPEUTICS INC,,,,,12789725,1231,10-K/A,,541655029,1934 Act,000-29815,PHARMACEUTICAL PREPARATIONS [2834],CO,DE,11080 CIRCLEPOINT ROAD,SUITE 200,80020
48732,,713-207-3000,0001042773,HOUSTON,CENTERPOINT ENERGY RESOURCES CORP,,,19970721,,19640300,1231,10-K,HI MERGER INC,760511406,1934 Act,001-13265,ELECTRIC SERVICES [4911],TX,TX,1111 LOUISIANA ST,,77002
1097313,,2812978500,0001097313,THE WOODLANDS,GRANT PRIDECO INC,,,,,08655147,1231,10-K,,760312499,1934 Act,001-15423,OIL & GAS FILED MACHINERY & EQUIPMENT [3533],TX,DE,1450 LAKE ROBBINS DRIVE,SUITE 600,77038
1097396,,855-672-4468,0001097396,NEW YORK,CERES TACTICAL GLOBAL L.P.,,,20091005,,19704698,1231,10-K,MORGAN STANLEY SMITH BARNEY SPECTRUM CURRENCY LP,000000000,1934 Act,000-31563, [6221],NY,DE,C/O CERES MANAGED FUTURES LLC,"522 FIFTH AVENUE, 14TH FLOOR",10036
1097430,,2627803640,0001097430,NEW BERLIN,INTERNATIONAL MONETARY SYSTEMS LTD /WI/,,,,,161512473,1231,10-K,,391924096,1934 Act,000-30853,"SERVICES-BUSINESS SERVICES, NEC [7389]",WI,WI,16901 WEST GLENDALE DR,,53151
48898,,2037994100,0000048898,SHELTON,HUBBELL INC,,,19860716,,19609892,1231,10-K,HUBBELL HARVEY INC,060397030,1934 Act,001-02958,ELECTRONIC COMPONENTS & ACCESSORIES [3670],CT,CT,40 WATERVIEW DR,,06484-1000
1097575,,3103280477,0001097575,SUPERIOR,"AcuNetx, Inc.",,,19991022,,101063864,1231,10-K/A,EYE DYNAMICS INC,880249812,1934 Act,000-27857,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841],CO,NV,"1000 S. MCCASLIN BLVD, #300",,80027
1097631,,8645950455,0001097631,SPARTANBURG,FIRST SOUTH BANCORP INC,,,,,08720946,1231,10-K,,571086258,1934 Act,000-28037,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED [6036]",SC,SC,1450 REIDVILLE ROAD,,29306
49071,,5025801000,0000049071,LOUISVILLE,HUMANA INC,,,19671129,,19622156,1231,10-K,HERITAGE HOUSE OF AMERICA INC,610647538,1934 Act,001-05975,HOSPITAL & MEDICAL SERVICE PLANS [6324],KY,DE,500 W. MAIN ST,,40202
1097718,,816-979-1893,0001097718,"FAIRFAX,","UnifiedOnline, Inc.",,,20020409,,151156129,0630,10-K,DISEASE SCIENCES INC,132640971,1934 Act,000-27865,COMPUTER STORAGE DEVICES [3572],VA,DE,4126 LEONARD DRIVE,SUITE 111,22030
1097752,,239 598 2300,0001097752,NAPLES,BASSET ENTERPRISES INC,,,,,10752715,1231,10-K,,134067630,1934 Act,000-51355, [9995],FL,NV,P.O. BOX 110310,,34108-0106
49196,,6144803594,0000049196,COLUMBUS,HUNTINGTON BANCSHARES INC/MD,,,,,19611545,1231,10-K,,310724920,1934 Act,001-34073,NATIONAL COMMERCIAL BANKS [6021],OH,MD,HUNTINGTON CENTER,41 S HIGH ST HC0917,43287
1097792,,561-362-2393,0001097792,BOCA RATON,"Ominto, Inc.",,,19991026,,162075833,0930,10-K,CLAMSHELL ENTERPRISES INC,134067623,1934 Act,001-37639,"SERVICES-BUSINESS SERVICES, NEC [7389]",FL,NV,1515 SOUTH FEDERAL HIGHWAY,SUITE 307,33432
1097864,,6022446600,0001097864,PHOENIX,ON SEMICONDUCTOR CORP,,,19991027,,19617541,1231,10-K,SCG HOLDING CORP,363840979,1934 Act,000-30419,SEMICONDUCTORS & RELATED DEVICES [3674],AZ,DE,5005 EAST MCDOWELL ROAD,,85008
1097896,,888-317-6984,0001097896,DEERFIELD BEACH,"Big Tree Group, Inc.",,,19991027,,14838665,1231,10-K,VEGA ATLANTIC CORP/CO,841304106,1934 Act,000-27845,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES) [3944]",FL,,431 FAIRWAY DRIVE,SUITE 251,33441
49397,,2123440351,0000049397,TORONTO,PHANTOM FIBER CORP,,,20000112,,09876259,1231,10-K/A,HYCOMP INC,042451506,1934 Act,001-15627,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES [5063]",A6,DE,"144 FRONT STREET, SUITE 580",SUITE 580,M5J 2L7
1098009,,(626) 576-1299,0001098009,ALHAMBRA,America Great Health,,,19991028,,181212688,0630,10-K,SPACE LAUNCHES FINANCING INC,980178621,1934 Act,000-27873,PHARMACEUTICAL PREPARATIONS [2834],CA,CA,1609 W VALLEY BLVD UNIT 338A,,91803
1098016,,310-453-1222,0001098016,SANTA MONICA,GENIUS PRODUCTS INC,,,,,09703966,1231,10-K/A,,330852923,1934 Act,000-27915,SERVICES-ALLIED TO MOTION PICTURE PRODUCTION [7819],CA,DE,"3301 EXPOSITION BLVD, #100",,90404
49444,,3239937310,0000049444,HOLLYWOOD,FAMILY ROOM ENTERTAINMENT CORP,,,19781015,,081122563,1231,10-K,HYDRO NUCLEAR CORP,850206160,1934 Act,000-04395,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION [7812],CA,NM,C/O SUNSET GOWER STUDIOS,"1438 N GOWER ST BOX 68, BLDG 1 STE 21",90028
1098074,,011 44 20 8476 8000,0001098074,"WEST DRAYTON, MIDDLESEX",NDS GROUP PLC,,,,,081001019,0630,10-K,,000000000,1934 Act,000-30364,ELECTRONIC COMPUTERS [3571],X0,X0,ONE HEATHROW BOULEVARD,286 BATH ROAD,UB7 0DQ
49534,,8003685569,0000049534,WACO,LIFE PARTNERS HOLDINGS INC,,,19991110,,14872178,0228,10-K,IGE INC,742962475,1934 Act,000-07900,LIFE INSURANCE [6311],TX,TX,204 WOODHEW,,76710
1098146,,2033247500,0001098146,STAMFORD,PATRIOT NATIONAL BANCORP INC,,,,,19775110,1231,10-K/A,,061559137,1934 Act,000-29599,NATIONAL COMMERCIAL BANKS [6021],CT,CT,900 BEDFORD ST,,06901
1098151,,5703428281,0001098151,DUNMORE,FIDELITY D & D BANCORP INC,,,,,19679245,1231,10-K,,233017653,1934 Act,001-38229,NATIONAL COMMERCIAL BANKS [6021],PA,PA,BLAKELY & DRINKER STREETS,,18512
49600,,6013543555,0000049600,RIDGELAND,EASTGROUP PROPERTIES INC,,,19830719,,19607777,1231,10-K,ICM REALTY,132711135,1934 Act,001-07094,REAL ESTATE INVESTMENT TRUSTS [6798],MS,MD,400 W. PARKWAY PLACE,SUITE 100,39157
49615,,2019969000,0000049615,WOODCLIFF LAKE,ID SYSTEMS INC,,,,,19782750,1231,10-K/A,,223270799,1934 Act,001-15087,"COMMUNICATIONS EQUIPMENT, NEC [3669]",NJ,DE,123 TICE BOULEVARD,,07677
49648,,2083882200,0000049648,BOISE,IDAHO POWER CO,,,,,19620556,1231,10-K,,820130980,1934 Act,001-03198,ELECTRIC SERVICES [4911],ID,ID,PO BOX 70,1221 W IDAHO STREET,83702-5627
1098277,,8583208000,0001098277,SAN DIEGO,WEBSENSE INC,,,,,13626017,1231,10-K,,510380839,1934 Act,000-30093,"SERVICES-BUSINESS SERVICES, NEC [7389]",CA,DE,10240 SORRENTO VALLEY RD,,92121
1098296,,515-242-4300,0001098296,DES MOINES,MIDAMERICAN FUNDING LLC,,,19890628,,19627641,1231,10-K,PACIFICORP /ME/,470819200,1934 Act,333-90553,ELECTRIC SERVICES [4911],IA,IA,666 GRAND AVENUE,SUITE 500,50309-2580
49728,,3153317742,0000049728,NEWARK,IEC ELECTRONICS CORP,,,19730601,,181208669,0930,10-K,INTERCONTINENTAL ELECTRONICS CORP,133458955,1934 Act,001-34376,PRINTED CIRCUIT BOARDS [3672],NY,DE,105 NORTON STREET,,14513
1098315,,7275448866,0001098315,LARGO,"GeoPharma, Inc.",,,20030627,,09917417,0331,10-K,INNOVATIVE COS INC,592600232,1934 Act,001-16185,PHARMACEUTICAL PREPARATIONS [2834],FL,FL,6950 BRYAN DAIRY RD,,33777
49754,,818-240-6055,0000049754,GLENDALE,"Dine Brands Global, Inc.",,,19940204,,19620548,1231,10-K,IHOP CORP,953038279,1934 Act,001-15283,RETAIL-EATING PLACES [5812],CA,DE,"450 N. BRAND BLVD, 7TH FLOOR",,91203
1098343,,9492489561,0001098343,HOUSTON,TURNER VALLEY OIL & GAS INC,,,19991104,,09707965,1231,10-K/A,NETPARTS COM,911980526,1934 Act,000-30891,CRUDE PETROLEUM & NATURAL GAS [1311],TX,NV,3131 S W FREEWAY,,77098
49816,,314-621-3222,0001135361,ST LOUIS,AMEREN ENERGY GENERATING CO,,,20010222,,10640791,1231,10-K,AMERENENERGY GENERATING CO,371395586,1934 Act,333-56594,ELECTRIC SERVICES [4911],MO,IL,1901 CHOUTEAU AVENUE,MC 1370,63103
49826,,8477247500,0000049826,GLENVIEW,ILLINOIS TOOL WORKS INC,,,,,19611424,1231,10-K,,361258310,1934 Act,001-04797,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT [3560],IL,DE,155 HARLEM AVENUE,,60025
1098482,,8137544330,0001098482,TAMPA,"Innovaro, Inc.",,,19991105,,14687254,1231,10-K/A,UTEK CORP,563603677,1934 Act,001-15941,SERVICES-MANAGEMENT CONSULTING SERVICES [8742],FL,,2109 PALM AVENUE,,33605
49930,,9549174114,0000049930,POMPANO BEACH,IMPERIAL INDUSTRIES INC,,,,,12722314,1231,10-K,,650854631,1934 Act,001-07190,ABRASIVE ASBESTOS & MISC NONMETALLIC MINERAL PRODUCTS [3290],FL,DE,1259 NW 21ST STREET,,33069
49938,,1-800-567-3776,0000049938,CALGARY,IMPERIAL OIL LTD,,,,,19638367,1231,10-K,,980017682,1934 Act,000-12014,PETROLEUM REFINING [2911],A0,,505 QUARRY PARK BOULEVARD S.E.,,T2C 5N1
1098659,,9146952600,0001098659,MIDDELTOWN,MEDIACOM COMMUNICATIONS CORP,,,,,10662122,1231,10-K,,061566067,1934 Act,000-29227,CABLE & OTHER PAY TELEVISION SERVICES [4841],NY,DE,100 CRYSTAL RUN ROAD,,10941
