,source,target,relation
10,FORD MOTOR CO,OPEB,customers
11,FORD MOTOR CO,Exchange,customers
12,FORD MOTOR CO,EBIT,customers
13,FORD MOTOR CO,Ford Credit’s,customers
14,FORD MOTOR CO,Company,customers
17,FORD MOTOR CO,Trade Receivables Trade,customers
18,FORD MOTOR CO,Ford,customers
19,FORD MOTOR CO,Lincoln,customers
24,FORD MOTOR CO,Mobility,customers
25,FORD MOTOR CO,Dealer,customers
0,FORD MOTOR CO,Ford Credit,Sells to
0,FORD MOTOR CO,Ford,dependent on
2,FORD MOTOR CO,Ford Credit’s,dependent on
6,FORD MOTOR CO,Brexit,dependent on
7,FORD MOTOR CO,Ford Credit,dependent on
0,Motors Liquidation Co,Liquidation,Supply
1,Motors Liquidation Co,General Motors Corporation,Supply
2,Motors Liquidation Co,Saturn Corporation,Supply
3,Motors Liquidation Co,JPMorgan Chase Bank,Supply
4,Motors Liquidation Co,the GUC Trust,Supply
5,Motors Liquidation Co,GUC Trust,Supply
8,Motors Liquidation Co,GUC Trust Units,Supply
9,Motors Liquidation Co,Distributable Cash,Supply
0,Motors Liquidation Co,GUC Trust,Sells to
0,GENUINE PARTS CO,Company,Supply
2,GENUINE PARTS CO,NAPA Canada/UAP,Supply
4,GENUINE PARTS CO,NAPA,Supply
6,GENUINE PARTS CO,120 Traction,Supply
8,GENUINE PARTS CO,Traction,Supply
10,GENUINE PARTS CO,Automotive Supply Group,Supply
11,GENUINE PARTS CO,Balkamp,Supply
14,GENUINE PARTS CO,The Industrial Parts Group,Supply
15,GENUINE PARTS CO,Motion’s,Supply
16,GENUINE PARTS CO,Motion,Supply
17,GENUINE PARTS CO,the Industrial Parts Group,Supply
18,GENUINE PARTS CO,the Industrial Parts Group’s,Supply
19,GENUINE PARTS CO,The Business Products Group,Supply
20,GENUINE PARTS CO,Business Source ®,Supply
21,GENUINE PARTS CO,Compucessory,Supply
22,GENUINE PARTS CO,Lorell ®,Supply
23,GENUINE PARTS CO,NatureSaver ®,Supply
24,GENUINE PARTS CO,Integra,Supply
25,GENUINE PARTS CO,the Institute for Supply Management’s,Supply
28,GENUINE PARTS CO,Facilities,Supply
29,GENUINE PARTS CO,Breakroom,Supply
30,GENUINE PARTS CO,Safety Supplies,Supply
31,GENUINE PARTS CO,PartsPoint,Supply
32,GENUINE PARTS CO,EIS,Supply
36,GENUINE PARTS CO,Cash,Supply
40,GENUINE PARTS CO,Hydraulic Supply Company,Supply
0,GENUINE PARTS CO,MinimumMember,customers
1,GENUINE PARTS CO,TrademarksMember,customers
3,GENUINE PARTS CO,Hennig,customers
4,GENUINE PARTS CO,NAPA AUTO,customers
7,GENUINE PARTS CO,Company,customers
13,GENUINE PARTS CO,NAPA,customers
14,GENUINE PARTS CO,Motion,customers
15,GENUINE PARTS CO,The Industrial Parts Group,customers
16,GENUINE PARTS CO,Motion’s,customers
19,GENUINE PARTS CO,the Industrial Parts Group,customers
20,GENUINE PARTS CO,the Federal Reserve,customers
21,GENUINE PARTS CO,the Institute for Supply Management’s,customers
27,GENUINE PARTS CO,Fair Value of Customer Relationships Acquired in Business Combinations Description of the Matter,customers
42,GENUINE PARTS CO,Customer's Accounting for Implementation Costs Incurred,customers
43,GENUINE PARTS CO,Business Products,customers
44,GENUINE PARTS CO,AAG,customers
45,GENUINE PARTS CO,Company’s,customers
0,"Franchise Holdings International, Inc.",Worksport USA,Supply
1,"Franchise Holdings International, Inc.",AAG,Supply
2,"Franchise Holdings International, Inc.",Worksport,Supply
3,"Franchise Holdings International, Inc.",Worksports,Supply
4,"Franchise Holdings International, Inc.",Company,Supply
0,"Franchise Holdings International, Inc.",The Specialty Equipment,customers
1,"Franchise Holdings International, Inc.",Worksport,customers
2,"Franchise Holdings International, Inc.",Worksport’s,customers
3,"Franchise Holdings International, Inc.",AAG,customers
5,"Franchise Holdings International, Inc.","Québec, Canada",customers
6,"Franchise Holdings International, Inc.",Trailer Parts Etc,customers
8,"Franchise Holdings International, Inc.",Company,customers
9,"Franchise Holdings International, Inc.",Company’s,customers
12,"Franchise Holdings International, Inc.",ASU,customers
20,"Franchise Holdings International, Inc.",Customer C,customers
21,"Franchise Holdings International, Inc.",Customer A,customers
0,"Franchise Holdings International, Inc.",Sierra,Sells to
0,"Franchise Holdings International, Inc.",Company,dependent on
0,SaviCorp,DynoGreen Tech,Supply
1,SaviCorp,LLC,Supply
2,SaviCorp,the Department of Standardization,Supply
3,SaviCorp,DGT,Supply
4,SaviCorp,DynoValve,Supply
5,SaviCorp,Fontana Police Vehicle Roundup Suppliers,Supply
6,SaviCorp,SEC,Supply
7,SaviCorp,Non-Cash Investing and Financing Transactions,Supply
0,SaviCorp,Company,customers
0,SaviCorp,DynoValve,Sells to
1,SaviCorp,DGT,Sells to
0,SaviCorp,DynoValve,dependent on
1,SaviCorp,Company,dependent on
0,LYDALL INC /DE/,Company’s,Supply
2,LYDALL INC /DE/,Company,Supply
3,LYDALL INC /DE/,Interface,Supply
6,LYDALL INC /DE/,Tier I/II,Supply
7,LYDALL INC /DE/,the Company's Thermal Acoustical Solutions,Supply
11,LYDALL INC /DE/,Caterpillar Inc.,Supply
14,LYDALL INC /DE/,Registrant,Supply
15,LYDALL INC /DE/,Commission,Supply
20,LYDALL INC /DE/,All Accounting and Financial Personnel,Supply
21,LYDALL INC /DE/,Lydall’s,Supply
23,LYDALL INC /DE/,Company’s Thermal Acoustical Solutions,Supply
0,LYDALL INC /DE/,PatentsMember,customers
2,LYDALL INC /DE/,InterfaceMember,customers
3,LYDALL INC /DE/,Lydall,customers
4,LYDALL INC /DE/,BREXIT,customers
5,LYDALL INC /DE/,Company,customers
7,LYDALL INC /DE/,Lydall’s,customers
9,LYDALL INC /DE/,Company’s,customers
12,LYDALL INC /DE/,ASU,customers
19,LYDALL INC /DE/,The General Data Protection Regulation (,customers
20,LYDALL INC /DE/,GDPR,customers
21,LYDALL INC /DE/,the European Union,customers
22,LYDALL INC /DE/,EU,customers
24,LYDALL INC /DE/,Board of Directors,customers
40,LYDALL INC /DE/,Prepaid,customers
58,LYDALL INC /DE/,Interface,customers
63,LYDALL INC /DE/,FASB,customers
65,LYDALL INC /DE/,Customer’s Accounting for Implementation Costs Incurred,customers
0,LYDALL INC /DE/,Ford Motor Company,Sells to
1,LYDALL INC /DE/,Lydall’s,Sells to
2,LYDALL INC /DE/,Thermal Acoustical Solutions,Sells to
4,LYDALL INC /DE/,Ford,Sells to
5,LYDALL INC /DE/,Lydall,Sells to
0,LYDALL INC /DE/,Company,dependent on
0,VISTEON CORP,OtherPensionPlansPostretirementOrSupplementalPlansDefinedBenefitMember,Supply
1,VISTEON CORP,Ford,Supply
2,VISTEON CORP,Mazda,Supply
3,VISTEON CORP,Renault,Supply
4,VISTEON CORP,Nissan,Supply
5,VISTEON CORP,General Motors,Supply
6,VISTEON CORP,Volkswagen,Supply
7,VISTEON CORP,Jaguar/Land Rover,Supply
8,VISTEON CORP,Daimler,Supply
9,VISTEON CORP,Honda,Supply
10,VISTEON CORP,BMW,Supply
11,VISTEON CORP,Company,Supply
12,VISTEON CORP,Company’s International Operations Financial,Supply
17,VISTEON CORP,Company’s,Supply
40,VISTEON CORP,Manufacturing Operations and Supply,Supply
41,VISTEON CORP,Product Delivery Jochen Ladwig,Supply
42,VISTEON CORP,Global Quality and Procurement,Supply
43,VISTEON CORP,Visteon,Supply
44,VISTEON CORP,Infotainment Division,Supply
45,VISTEON CORP,"Harman International Industries, Inc.",Supply
46,VISTEON CORP,Visteon’s,Supply
47,VISTEON CORP,Manufacturing Operations and Supply Chain,Supply
48,VISTEON CORP,Engineering,Supply
49,VISTEON CORP,"Johnson Controls, Inc.",Supply
50,VISTEON CORP,Global Procurement,Supply
52,VISTEON CORP,Head of Procurement & Supplier Quality Connected Systems,Supply
53,VISTEON CORP,Displays & Digital Content,Supply
54,VISTEON CORP,Daimler AG,Supply
56,VISTEON CORP,DaimlerChrysler,Supply
57,VISTEON CORP,General Counsel,Supply
58,VISTEON CORP,Federal-Mogul Holdings Corporation,Supply
59,VISTEON CORP,Federal-Mogul,Supply
60,VISTEON CORP,Controller,Supply
61,VISTEON CORP,Operations,Supply
62,VISTEON CORP,Elektrobit Automotive GmbH,Supply
63,VISTEON CORP,Elektrobit’s,Supply
64,VISTEON CORP,Infotainment Solutions,Supply
65,VISTEON CORP,Electronics Business Group,Supply
67,VISTEON CORP,MD&A,Supply
79,VISTEON CORP,EBITDA,Supply
84,VISTEON CORP,HVAC,Supply
85,VISTEON CORP,HVCC,Supply
86,VISTEON CORP,OFAC,Supply
90,VISTEON CORP,Financial Reporting Management’s,Supply
91,VISTEON CORP,Ernst & Young LLP,Supply
93,VISTEON CORP,the Quarterly Report on Form 10-Q,Supply
94,VISTEON CORP,the Securities and Exchange Commission,Supply
0,VISTEON CORP,MaximumMember,customers
1,VISTEON CORP,MinimumMember,customers
5,VISTEON CORP,GoodwillMember,customers
8,VISTEON CORP,Visteon,customers
9,VISTEON CORP,Company,customers
10,VISTEON CORP,Company's Electronics,customers
12,VISTEON CORP,Ford,customers
13,VISTEON CORP,Mazda,customers
14,VISTEON CORP,Renault,customers
15,VISTEON CORP,Nissan,customers
16,VISTEON CORP,General Motors,customers
17,VISTEON CORP,Volkswagen,customers
18,VISTEON CORP,Jaguar/Land Rover,customers
19,VISTEON CORP,Daimler,customers
20,VISTEON CORP,Honda,customers
21,VISTEON CORP,BMW,customers
30,VISTEON CORP,The Company’s Business,customers
33,VISTEON CORP,Company’s,customers
37,VISTEON CORP,OEM,customers
51,VISTEON CORP,Ford Motor Company,customers
63,VISTEON CORP,Visteon’s,customers
66,VISTEON CORP,Customer Business Groups,customers
71,VISTEON CORP,EBITDA,customers
76,VISTEON CORP,Revenue Recognition Revenue,customers
87,VISTEON CORP,the Company until the Company,customers
103,VISTEON CORP,VFAE,customers
0,VISTEON CORP,Company,dependent on
4,VISTEON CORP,Ford Motor Company,dependent on
0,"MERITOR, INC.",Commercial Truck,Supply
1,"MERITOR, INC.",Trailer,Supply
2,"MERITOR, INC.",the European Union,Supply
3,"MERITOR, INC.",Meritor,Supply
4,"MERITOR, INC.",PACCAR,Supply
5,"MERITOR, INC.",Daimler,Supply
6,"MERITOR, INC.",Silver Performance,Supply
7,"MERITOR, INC.",Motor Coach Industries,Supply
8,"MERITOR, INC.",Alstom,Supply
9,"MERITOR, INC.",OEM,Supply
11,"MERITOR, INC.","Fabco Holdings, Inc.",Supply
12,"MERITOR, INC.",AA Gear Mfg.,Supply
13,"MERITOR, INC.",AxleTech,Supply
14,"MERITOR, INC.",SEC,Supply
17,"MERITOR, INC.",Global Truck,Supply
18,"MERITOR, INC.",Americas,Supply
19,"MERITOR, INC.",Global Manufacturing and Supply Chain Management,Supply
20,"MERITOR, INC.",Meritor India,Supply
21,"MERITOR, INC.",MHVSIL,Supply
22,"MERITOR, INC.",Automotive Axles Ltd.,Supply
24,"MERITOR, INC.",Kalyani Group of India,Supply
25,"MERITOR, INC.",European Operations,Supply
26,"MERITOR, INC.",Continuous Improvement,Supply
27,"MERITOR, INC.",Industrialization Project Manager,Supply
29,"MERITOR, INC.",Overview Headquartered,Supply
33,"MERITOR, INC.",FIFO,Supply
34,"MERITOR, INC.",TransPower,Supply
38,"MERITOR, INC.",The Bank of New York Mellon Trust Company,Supply
39,"MERITOR, INC.",BNY Midwest Trust Company,Supply
40,"MERITOR, INC.",The Chase Manhattan Bank,Supply
42,"MERITOR, INC.",Annual Report on Form 10-K,Supply
47,"MERITOR, INC.",Subsidiary Guaranty,Supply
48,"MERITOR, INC.",Meritor’s Current Report on Form,Supply
53,"MERITOR, INC.",Meritor's,Supply
0,"MERITOR, INC.",GoalthreeMember,customers
1,"MERITOR, INC.",Meritor,customers
2,"MERITOR, INC.",Trailer,customers
3,"MERITOR, INC.",the European Union,customers
5,"MERITOR, INC.",PACCAR,customers
6,"MERITOR, INC.",Daimler,customers
7,"MERITOR, INC.",Silver Performance,customers
8,"MERITOR, INC.",Motor Coach Industries,customers
12,"MERITOR, INC.",AB Volvo,customers
13,"MERITOR, INC.",Daimler AG,customers
15,"MERITOR, INC.",Navistar,customers
19,"MERITOR, INC.",Navistar International Corporation,customers
20,"MERITOR, INC.",Traton Group,customers
21,"MERITOR, INC.",CNH Industrial,customers
22,"MERITOR, INC.",XCMG,customers
23,"MERITOR, INC.",Wabash National,customers
24,"MERITOR, INC.",Gillig,customers
25,"MERITOR, INC.",OEM,customers
27,"MERITOR, INC.","Fabco Holdings, Inc.",customers
28,"MERITOR, INC.",AA Gear Mfg.,customers
29,"MERITOR, INC.",AxleTech,customers
30,"MERITOR, INC.",SEC,customers
37,"MERITOR, INC.",the Financial Accounting Standards Board,customers
38,"MERITOR, INC.",FASB,customers
39,"MERITOR, INC.",ASU,customers
0,"MERITOR, INC.",AB Volvo,Sells to
1,"MERITOR, INC.",Daimler AG,Sells to
2,"MERITOR, INC.",PACCAR,Sells to
3,"MERITOR, INC.",Navistar,Sells to
8,"MERITOR, INC.",OEM,Sells to
0,MODINE MANUFACTURING CO,Modine,Supply
1,MODINE MANUFACTURING CO,the General Data Protection Regulation,Supply
2,MODINE MANUFACTURING CO,Company’s,Supply
3,MODINE MANUFACTURING CO,Luvata HTS,Supply
4,MODINE MANUFACTURING CO,Company,Supply
0,MODINE MANUFACTURING CO,− Automobile,customers
1,MODINE MANUFACTURING CO,− Agricultural,customers
2,MODINE MANUFACTURING CO,− Heating,customers
3,MODINE MANUFACTURING CO,− Construction,customers
4,MODINE MANUFACTURING CO,− Wholesalers,customers
5,MODINE MANUFACTURING CO,Customers – Automobile,customers
6,MODINE MANUFACTURING CO,Customers – Construction,customers
7,MODINE MANUFACTURING CO,Caterpillar,customers
8,MODINE MANUFACTURING CO,Daimler AG,customers
9,MODINE MANUFACTURING CO,Daimler Trucks,customers
10,MODINE MANUFACTURING CO,Detroit Diesel,customers
11,MODINE MANUFACTURING CO,Mercedes-Benz,customers
12,MODINE MANUFACTURING CO,Deere & Company,customers
13,MODINE MANUFACTURING CO,FCA N.V.,customers
14,MODINE MANUFACTURING CO,Chrysler,customers
15,MODINE MANUFACTURING CO,CNH,customers
16,MODINE MANUFACTURING CO,Fiat,customers
17,MODINE MANUFACTURING CO,Iveco,customers
18,MODINE MANUFACTURING CO,VM Motori,customers
19,MODINE MANUFACTURING CO,CIS,customers
20,MODINE MANUFACTURING CO,Modine,customers
21,MODINE MANUFACTURING CO,HVAC&R,customers
22,MODINE MANUFACTURING CO,EGR,customers
23,MODINE MANUFACTURING CO,IATF,customers
24,MODINE MANUFACTURING CO,Global Modine       Management System,customers
25,MODINE MANUFACTURING CO,OEM,customers
26,MODINE MANUFACTURING CO,VTS,customers
28,MODINE MANUFACTURING CO,the General Data Protection Regulation,customers
31,MODINE MANUFACTURING CO,Credit Risk Credit,customers
33,MODINE MANUFACTURING CO,Company,customers
35,MODINE MANUFACTURING CO,FASB,customers
47,MODINE MANUFACTURING CO,the       Company,customers
51,MODINE MANUFACTURING CO,BHVAC,customers
59,MODINE MANUFACTURING CO,Company’s,customers
0,MODINE MANUFACTURING CO,OEM,Sells to
1,MODINE MANUFACTURING CO,VTS,Sells to
2,MODINE MANUFACTURING CO,CIS,Sells to
3,MODINE MANUFACTURING CO,External Sales Inter,Sells to
0,MODINE MANUFACTURING CO,Company,dependent on
0,PACCAR INC,Company,Supply
1,PACCAR INC,Cummins,Supply
3,PACCAR INC,Company’s,Supply
5,PACCAR INC,DAF,Supply
6,PACCAR INC,Renault V.I.,Supply
14,PACCAR INC,Financial Services,Supply
15,PACCAR INC,PACCAR,Supply
16,PACCAR INC,EC,Supply
0,PACCAR INC,Company’s,customers
1,PACCAR INC,PACCAR,customers
5,PACCAR INC,Company,customers
7,PACCAR INC,Financial Services,customers
13,PACCAR INC,Global Embedded Software,customers
14,PACCAR INC,Kenworth,customers
15,PACCAR INC,Peterbilt,customers
17,PACCAR INC,DAF,customers
21,PACCAR INC,Ponta Grossa,customers
28,PACCAR INC,Truck,customers
34,PACCAR INC,RVG,customers
38,PACCAR INC,The Company’s Financial Services,customers
42,PACCAR INC,Recognition,customers
62,PACCAR INC,Company’s Truck,customers
64,PACCAR INC,the Company’s Financial Services,customers
0,PACCAR INC,PACCAR,dependent on
1,PACCAR INC,Kenworth,dependent on
2,PACCAR INC,Peterbilt,dependent on
3,PACCAR INC,DAF,dependent on
4,PACCAR INC,Financial Services,dependent on
0,"Andover Holdings, Inc./FL",Company,Supply
2,"Andover Holdings, Inc./FL",NON,Supply
0,"Andover Holdings, Inc./FL",Company,customers
0,"STANDARD MOTOR PRODUCTS, INC.",PatentsMember,Supply
2,"STANDARD MOTOR PRODUCTS, INC.",TrademarksMember,Supply
5,"STANDARD MOTOR PRODUCTS, INC.",SEC,Supply
6,"STANDARD MOTOR PRODUCTS, INC.",OE,Supply
7,"STANDARD MOTOR PRODUCTS, INC.",OEM,Supply
8,"STANDARD MOTOR PRODUCTS, INC.",Item,Supply
9,"STANDARD MOTOR PRODUCTS, INC.",SG&A,Supply
10,"STANDARD MOTOR PRODUCTS, INC.","Stoneridge, Inc.",Supply
11,"STANDARD MOTOR PRODUCTS, INC.",Temperature Control,Supply
0,"STANDARD MOTOR PRODUCTS, INC.",MinimumMember,customers
1,"STANDARD MOTOR PRODUCTS, INC.",FurnitureAndFixturesMember,customers
2,"STANDARD MOTOR PRODUCTS, INC.",MaximumMember,customers
5,"STANDARD MOTOR PRODUCTS, INC.",PatentsMember,customers
7,"STANDARD MOTOR PRODUCTS, INC.",TrademarksMember,customers
11,"STANDARD MOTOR PRODUCTS, INC.",SEC,customers
12,"STANDARD MOTOR PRODUCTS, INC.",O’Reilly Automotive,customers
13,"STANDARD MOTOR PRODUCTS, INC.",Engine Management and Temperature Control Segments,customers
14,"STANDARD MOTOR PRODUCTS, INC.",Temperature Control,customers
16,"STANDARD MOTOR PRODUCTS, INC.",Engine Management’s,customers
17,"STANDARD MOTOR PRODUCTS, INC.","Stoneridge, Inc.",customers
18,"STANDARD MOTOR PRODUCTS, INC.",Temperature Control’s,customers
20,"STANDARD MOTOR PRODUCTS, INC.",Engine Management,customers
21,"STANDARD MOTOR PRODUCTS, INC.",General Cable,customers
23,"STANDARD MOTOR PRODUCTS, INC.",New Customer Acquisition Costs,customers
24,"STANDARD MOTOR PRODUCTS, INC.",Company,customers
25,"STANDARD MOTOR PRODUCTS, INC.",EBIT,customers
28,"STANDARD MOTOR PRODUCTS, INC.",OE/OES,customers
29,"STANDARD MOTOR PRODUCTS, INC.","Index STANDARD MOTOR PRODUCTS, INC",customers
32,"STANDARD MOTOR PRODUCTS, INC.",ASU,customers
35,"STANDARD MOTOR PRODUCTS, INC.",Export,customers
0,REGENCY AFFILIATES INC,Mobile Energy,Supply
1,REGENCY AFFILIATES INC,Kimberly-Clark,Supply
2,REGENCY AFFILIATES INC,MESC Capital's,Supply
7,REGENCY AFFILIATES INC,"Royalty Management, Inc.",Supply
8,REGENCY AFFILIATES INC,MESC Capital,Supply
9,REGENCY AFFILIATES INC,"Mobile Energy Services, Company",Supply
10,REGENCY AFFILIATES INC,LLC,Supply
15,REGENCY AFFILIATES INC,Laurence Levy,Supply
16,REGENCY AFFILIATES INC,Company,Supply
0,REGENCY AFFILIATES INC,Security Land,dependent on
1,REGENCY AFFILIATES INC,MESC Capital,dependent on
0,UNITED COMPONENTS INC,Flexible Lamps Ltd.,Supply
1,UNITED COMPONENTS INC,DIY,Supply
2,UNITED COMPONENTS INC,AutoZone,Supply
3,UNITED COMPONENTS INC,DIFM,Supply
4,UNITED COMPONENTS INC,Alliance,Supply
5,UNITED COMPONENTS INC,CARQUEST,Supply
11,UNITED COMPONENTS INC,NAPA,Supply
13,UNITED COMPONENTS INC,NAPA Excellence,Supply
14,UNITED COMPONENTS INC,Automotive Distribution Network,Supply
15,UNITED COMPONENTS INC,Aftermarket Auto Parts Alliance “Gold Level Supplier for Outstanding Shipping Performance 2007,Supply
16,UNITED COMPONENTS INC,Aftermarket Auto Parts Alliance,Supply
17,UNITED COMPONENTS INC,Valvoline,Supply
18,UNITED COMPONENTS INC,Firestone,Supply
19,UNITED COMPONENTS INC,Kubota,Supply
20,UNITED COMPONENTS INC,Mercury,Supply
21,UNITED COMPONENTS INC,Sierra Supply • Lawn,Supply
22,UNITED COMPONENTS INC,Kohler,Supply
23,UNITED COMPONENTS INC,"Hovis Auto Supply, Inc.",Supply
24,UNITED COMPONENTS INC,Robert Bosch LLC et al,Supply
25,UNITED COMPONENTS INC,Independent Registered Public Accounting Firm 47 Consolidated       Financial Statements Consolidated,Supply
26,UNITED COMPONENTS INC,UCI,Supply
29,UNITED COMPONENTS INC,Company,Supply
30,UNITED COMPONENTS INC,LMC,Supply
0,UNITED COMPONENTS INC,"Advance Stores Company, Inc.",customers
1,UNITED COMPONENTS INC,"AutoZone, Inc.",customers
2,UNITED COMPONENTS INC,AutoZone,customers
3,UNITED COMPONENTS INC,Aftermarket Auto Parts Alliance (Alliance,customers
4,UNITED COMPONENTS INC,AIM/CMB Marketing,customers
5,UNITED COMPONENTS INC,Automotive Distribution Network,customers
6,UNITED COMPONENTS INC,"Auto Parts Associates, Inc.",customers
7,UNITED COMPONENTS INC,APA,customers
8,UNITED COMPONENTS INC,Auto Parts Professionals,customers
9,UNITED COMPONENTS INC,CARQUEST Corporation,customers
10,UNITED COMPONENTS INC,CARQUEST,customers
11,UNITED COMPONENTS INC,Genuine Parts Company,customers
12,UNITED COMPONENTS INC,NAPA,customers
13,UNITED COMPONENTS INC,UAP,customers
14,UNITED COMPONENTS INC,Independent Warehouse Distributors,customers
15,UNITED COMPONENTS INC,IWD,customers
16,UNITED COMPONENTS INC,National Pronto Association,customers
17,UNITED COMPONENTS INC,Advance,customers
19,UNITED COMPONENTS INC,Alliance,customers
22,UNITED COMPONENTS INC,Airtex,customers
30,UNITED COMPONENTS INC,NAPA Excellence,customers
32,UNITED COMPONENTS INC,Aftermarket Auto Parts Alliance “Gold Level Supplier for Outstanding Shipping Performance 2007,customers
33,UNITED COMPONENTS INC,Aftermarket Auto Parts Alliance,customers
34,UNITED COMPONENTS INC,OES,customers
35,UNITED COMPONENTS INC,GM,customers
36,UNITED COMPONENTS INC,Ford,customers
37,UNITED COMPONENTS INC,Chrysler,customers
38,UNITED COMPONENTS INC,Harley-Davidson,customers
39,UNITED COMPONENTS INC,Kawasaki,customers
42,UNITED COMPONENTS INC,General Motors,customers
46,UNITED COMPONENTS INC,UCI,customers
52,UNITED COMPONENTS INC,Company,customers
53,UNITED COMPONENTS INC,OEM,customers
55,UNITED COMPONENTS INC,Revenue Recognition,customers
0,UNITED COMPONENTS INC,Valvoline,Sells to
1,UNITED COMPONENTS INC,Firestone,Sells to
2,UNITED COMPONENTS INC,AutoZone,Sells to
4,UNITED COMPONENTS INC,General Motors Corporation,Sells to
5,UNITED COMPONENTS INC,GM,Sells to
7,UNITED COMPONENTS INC,Chrysler,Sells to
9,UNITED COMPONENTS INC,OES,Sells to
13,UNITED COMPONENTS INC,UCI,Sells to
17,UNITED COMPONENTS INC,The Hertz Corporation,Sells to
19,UNITED COMPONENTS INC,The Compensation Committee,Sells to
21,UNITED COMPONENTS INC,"Allison Transmission, Inc.",Sells to
0,UNITED COMPONENTS INC,UCI,dependent on
0,"ATC Ventures Group, Inc.",Equity Securities 10 Item 6 Selected Consolidated Financial Data 11 Item 7 Management's,Supply
1,"ATC Ventures Group, Inc.",Discussion and Analysis of Financial Condition and Results of Operations 12 Item 8 Financial Statements,Supply
2,"ATC Ventures Group, Inc.",Company,Supply
9,"ATC Ventures Group, Inc.",Supply Chain and Sourcing of Materials,Supply
11,"ATC Ventures Group, Inc.",Buyer,Supply
14,"ATC Ventures Group, Inc.",The Supply Agreement,Supply
18,"ATC Ventures Group, Inc.",Closing,Supply
0,"ATC Ventures Group, Inc.",Company,customers
13,"ATC Ventures Group, Inc.",Buyer,customers
15,"ATC Ventures Group, Inc.",Closing,customers
26,"ATC Ventures Group, Inc.",Imdyne,customers
31,"ATC Ventures Group, Inc.",Imdyne ATV Perf-Form Plazco,customers
32,"ATC Ventures Group, Inc.",ATV,customers
34,"ATC Ventures Group, Inc.",Plazco,customers
36,"ATC Ventures Group, Inc.",Perf-Form's,customers
0,CHINA AUTOMOTIVE SYSTEMS INC,Company,Supply
1,CHINA AUTOMOTIVE SYSTEMS INC,GM,Supply
2,CHINA AUTOMOTIVE SYSTEMS INC,Citroen,Supply
3,CHINA AUTOMOTIVE SYSTEMS INC,Volkswagen,Supply
5,CHINA AUTOMOTIVE SYSTEMS INC,Fiat Chrysler North America,Supply
6,CHINA AUTOMOTIVE SYSTEMS INC,Ford Motor Company,Supply
7,CHINA AUTOMOTIVE SYSTEMS INC,Company’s,Supply
9,CHINA AUTOMOTIVE SYSTEMS INC,OEM,Supply
14,CHINA AUTOMOTIVE SYSTEMS INC,First Auto FKS,Supply
15,CHINA AUTOMOTIVE SYSTEMS INC,FKS,Supply
16,CHINA AUTOMOTIVE SYSTEMS INC,SAIC,Supply
17,CHINA AUTOMOTIVE SYSTEMS INC,ZF Germany,Supply
26,CHINA AUTOMOTIVE SYSTEMS INC,Grand China,Supply
27,CHINA AUTOMOTIVE SYSTEMS INC,"TRI Products, Inc.",Supply
28,CHINA AUTOMOTIVE SYSTEMS INC,USD,Supply
0,CHINA AUTOMOTIVE SYSTEMS INC,General Motors,customers
1,CHINA AUTOMOTIVE SYSTEMS INC,GM,customers
2,CHINA AUTOMOTIVE SYSTEMS INC,Volkswagen,customers
3,CHINA AUTOMOTIVE SYSTEMS INC,Citroen,customers
4,CHINA AUTOMOTIVE SYSTEMS INC,Fiat Chrysler North America,customers
5,CHINA AUTOMOTIVE SYSTEMS INC,Company,customers
6,CHINA AUTOMOTIVE SYSTEMS INC,Company’s,customers
8,CHINA AUTOMOTIVE SYSTEMS INC,Fiat,customers
9,CHINA AUTOMOTIVE SYSTEMS INC,OEM,customers
15,CHINA AUTOMOTIVE SYSTEMS INC,FKS,customers
16,CHINA AUTOMOTIVE SYSTEMS INC,First Auto Group,customers
17,CHINA AUTOMOTIVE SYSTEMS INC,Koyo Company,customers
18,CHINA AUTOMOTIVE SYSTEMS INC,FAW-Volkswagen Company,customers
44,CHINA AUTOMOTIVE SYSTEMS INC,VAT,customers
47,CHINA AUTOMOTIVE SYSTEMS INC,FASB,customers
48,CHINA AUTOMOTIVE SYSTEMS INC,the International Accounting Standards Board,customers
49,CHINA AUTOMOTIVE SYSTEMS INC,IASB,customers
50,CHINA AUTOMOTIVE SYSTEMS INC,ASU,customers
52,CHINA AUTOMOTIVE SYSTEMS INC,ASU No.2016-10,customers
53,CHINA AUTOMOTIVE SYSTEMS INC,ASU No.2016-11,customers
54,CHINA AUTOMOTIVE SYSTEMS INC,Xiamen Joylon,customers
0,CHINA AUTOMOTIVE SYSTEMS INC,Company,Sells to
0,CHINA AUTOMOTIVE SYSTEMS INC,Company’s,dependent on
1,CHINA AUTOMOTIVE SYSTEMS INC,Company,dependent on
0,"Transnational Automotive Group, Inc.",the Cameroon Government,Supply
1,"Transnational Automotive Group, Inc.",TAUG,Supply
5,"Transnational Automotive Group, Inc.",Texaco,Supply
0,"Transnational Automotive Group, Inc.",LeBus,customers
1,"Transnational Automotive Group, Inc.",Company’s,customers
2,"Transnational Automotive Group, Inc.",Ad Agency,customers
4,"Transnational Automotive Group, Inc.",SFAS No,customers
0,"Wonder Auto Technology, Inc",Supplementary Data,Supply
1,"Wonder Auto Technology, Inc",Jinheng Holdings,Supply
2,"Wonder Auto Technology, Inc","Jiangsu Senyuan Special Steel Co., Ltd.",Supply
3,"Wonder Auto Technology, Inc","Yingkou Die-Casting Products Co., Ltd.",Supply
