,source,target,relation,sentence
1,"Franchise Holdings International, Inc.",Company,Sells to,● Due     to the impact of COVID-19 around the world the Company expects its sales to decrease significantly for the first and second     quarter of 2020 as governments around the world enter a lockdown to prevent the spread of COVID-19.
0,SaviCorp,DynoGreen Tech,Supply,"If all goes well in the Middle East, it appears that DynoGreen Tech, LLC (“DGT“) as well as Savvy Green would like to have an exclusive distribution agreement to supply to all of Africa, Russia, and Europe."
1,SaviCorp,LLC,Supply,"If all goes well in the Middle East, it appears that DynoGreen Tech, LLC (“DGT“) as well as Savvy Green would like to have an exclusive distribution agreement to supply to all of Africa, Russia, and Europe."
2,SaviCorp,DGT,Supply,"DGT as well as Savvy Green have requested an exclusive distribution agreement to supply DynoValve products to all of Africa, Russia, and Europe."
3,SaviCorp,DynoValve,Supply,"DGT as well as Savvy Green have requested an exclusive distribution agreement to supply DynoValve products to all of Africa, Russia, and Europe."
0,SaviCorp,Company,customers,The Company may determine the prices that it charges to its customers.
1,SaviCorp,Company,customers,The technology is a relatively simple gasoline and diesel engine emission reduction device that the Company intends to sell to its customers for effective and efficient emission reduction and engine efficiency for implementation in both new and presently operating automobiles.
0,SaviCorp,DynoValve,Sells to,"DynoValve sales to DGT totaling $715,000 in 2013 were discounted in full due to these sales discounts."
1,SaviCorp,DGT,Sells to,"DynoValve sales to DGT totaling $715,000 in 2013 were discounted in full due to these sales discounts."
0,SaviCorp,DynoValve,dependent on,"o The savings in over-all fuel, oil and engine service requirements are significant; o Carbon Credits are generated by the use of the DynoValve & DynoValve Pro; o The expense of fitting DynoValve is recaptured with short use and dependent on mileage use (within 6 to 12 months for passenger cars but 2 months with a taxi); o Useable with marine engines as well; o The Company hopes to have the DynoValve Pro (diesel) available in 2015, which should be used by large fleet owners, locomotive, heavy equipment, stationary engines and marine engines as well as ocean liners."
1,SaviCorp,Company,dependent on,"o The savings in over-all fuel, oil and engine service requirements are significant; o Carbon Credits are generated by the use of the DynoValve & DynoValve Pro; o The expense of fitting DynoValve is recaptured with short use and dependent on mileage use (within 6 to 12 months for passenger cars but 2 months with a taxi); o Useable with marine engines as well; o The Company hopes to have the DynoValve Pro (diesel) available in 2015, which should be used by large fleet owners, locomotive, heavy equipment, stationary engines and marine engines as well as ocean liners."
0,LYDALL INC /DE/,Company’s,Supply,"Such risks and uncertainties include, among others, worldwide economic cycles and political changes that affect the markets which the Company’s businesses serve, which could have an effect on demand for the Company’s products and impact the Company’s profitability; challenges encountered by the Company in execution of restructuring or other cost savings programs; challenges encountered in the integration and financial performance of the acquired Interface business; disruptions in the global credit and financial markets, including diminished liquidity and credit availability; changes in international trade agreements and trade policies including tariff regulation and trade restrictions; swings in consumer confidence and spending; unstable economic growth; volatility in foreign currency exchange rates; raw material pricing and supply issues; fluctuations in unemployment rates; retention of key employees and successful execution of the Company's CEO transition; increases in fuel prices; changes in tax laws; and outcomes of legal proceedings, claims and investigations; and cybersecurity attacks or intrusions that could adversely impact the Company's business, as well as other risks and uncertainties identified in Part I, Item 1A"
2,LYDALL INC /DE/,Company,Supply,"Such risks and uncertainties include, among others, worldwide economic cycles and political changes that affect the markets which the Company’s businesses serve, which could have an effect on demand for the Company’s products and impact the Company’s profitability; challenges encountered by the Company in execution of restructuring or other cost savings programs; challenges encountered in the integration and financial performance of the acquired Interface business; disruptions in the global credit and financial markets, including diminished liquidity and credit availability; changes in international trade agreements and trade policies including tariff regulation and trade restrictions; swings in consumer confidence and spending; unstable economic growth; volatility in foreign currency exchange rates; raw material pricing and supply issues; fluctuations in unemployment rates; retention of key employees and successful execution of the Company's CEO transition; increases in fuel prices; changes in tax laws; and outcomes of legal proceedings, claims and investigations; and cybersecurity attacks or intrusions that could adversely impact the Company's business, as well as other risks and uncertainties identified in Part I, Item 1A"
3,LYDALL INC /DE/,Interface,Supply,"Such risks and uncertainties include, among others, worldwide economic cycles and political changes that affect the markets which the Company’s businesses serve, which could have an effect on demand for the Company’s products and impact the Company’s profitability; challenges encountered by the Company in execution of restructuring or other cost savings programs; challenges encountered in the integration and financial performance of the acquired Interface business; disruptions in the global credit and financial markets, including diminished liquidity and credit availability; changes in international trade agreements and trade policies including tariff regulation and trade restrictions; swings in consumer confidence and spending; unstable economic growth; volatility in foreign currency exchange rates; raw material pricing and supply issues; fluctuations in unemployment rates; retention of key employees and successful execution of the Company's CEO transition; increases in fuel prices; changes in tax laws; and outcomes of legal proceedings, claims and investigations; and cybersecurity attacks or intrusions that could adversely impact the Company's business, as well as other risks and uncertainties identified in Part I, Item 1A"
6,LYDALL INC /DE/,Company’s,Supply,"Raw material pricing, supply issues, and disruptions in transportation networks could affect all of the Company’s businesses -"
7,LYDALL INC /DE/,Company,Supply,All such tooling contracts relate to parts that the Company will supply to customers under long-term supply agreements.
0,LYDALL INC /DE/,PatentsMember,customers,us-gaap:PatentsMember 2019-12-31 0000060977 us-gaap:OtherIntangibleAssetsMember 2018-12-31 0000060977 us-gaap:LicensingAgreementsMember 2018-12-31 0000060977 us-gaap:TradeNamesMember 2019-12-31 0000060977 us-gaap:ComputerSoftwareIntangibleAssetMember 2019-12-31 0000060977 us-gaap:CustomerRelationshipsMember 2018-12-31 0000060977 us-gaap:LicensingAgreementsMember 2019-12-31 0000060977 us-gaap:PatentsMember 2018-12-31 0000060977 us-gaap:
2,LYDALL INC /DE/,InterfaceMember,customers,2018-12-31 0000060977 ldl:InterfaceMember 2019-12-31 0000060977 ldl:InterfaceMember us-gaap:CustomerRelationshipsMember 2018-08-31 2018-08-31 0000060977 ldl:InterfaceMember us-gaap:TradeNamesMember 2018-08-31 0000060977 ldl:
3,LYDALL INC /DE/,Lydall,customers,No other customers accounted for more than 10% of Lydall's net sales in such years.
4,LYDALL INC /DE/,BREXIT,customers,"BREXIT also may create global economic uncertainty, which may cause the Company's customers and potential customers to monitor their costs and reduce their budgets for Lydall's products.  "
5,LYDALL INC /DE/,Company,customers,"BREXIT also may create global economic uncertainty, which may cause the Company's customers and potential customers to monitor their costs and reduce their budgets for Lydall's products.  "
6,LYDALL INC /DE/,Lydall,customers,"BREXIT also may create global economic uncertainty, which may cause the Company's customers and potential customers to monitor their costs and reduce their budgets for Lydall's products.  "
7,LYDALL INC /DE/,Lydall’s,customers,"Adverse developments could reduce demand for new vehicles, causing Lydall’s customers to reduce their vehicle production in North America, Europe and Asia and, as a result, demand for Company products would be adversely affected."
8,LYDALL INC /DE/,Company,customers,"Among other things, future performance could be impacted by the Company’s ability to: • Identify and effectively complete strategic transactions; • Obtain adequate financing to fund strategic initiatives; • Successfully integrate and manage acquired businesses that involve numerous operational and financial risks, including difficulties in the integration of acquired operations, diversion of management's attention from other business concerns, managing assets in multiple geographic regions and potential loss of key employees and key customers of acquired operations; • Improve operating margins through its Lean Six Sigma initiatives which are intended to improve processes and work flow, improve customer service, reduce costs and leverage synergies across the Company; and • Successfully invest and deploy capital investments to support our business and commitments to our customers."
9,LYDALL INC /DE/,Company’s,customers,"If the prices and duties of these raw materials, or any other raw materials used in the Company’s businesses increase, the Company may not have the ability to pass all of the incremental cost increases on to its customers."
10,LYDALL INC /DE/,Company,customers,"If the prices and duties of these raw materials, or any other raw materials used in the Company’s businesses increase, the Company may not have the ability to pass all of the incremental cost increases on to its customers."
11,LYDALL INC /DE/,Company,customers,"During 2018, the Company adopted ASU 2014-09, Revenue from Contracts with Customers, which provided for comprehensive changes in revenue recognition and superseded nearly all existing U.S. GAAP.  "
12,LYDALL INC /DE/,ASU,customers,"During 2018, the Company adopted ASU 2014-09, Revenue from Contracts with Customers, which provided for comprehensive changes in revenue recognition and superseded nearly all existing U.S. GAAP.  "
13,LYDALL INC /DE/,Company,customers,"Accordingly, the ability to compete is in part dependent on the Company's ability to continually offer enhanced and improved products that meet the changing requirements of Lydall's customers.  "
14,LYDALL INC /DE/,Company,customers,"The impact of the coronavirus on the Company's businesses is uncertain at this time and will depend on future developments, but prolonged closures in China may disrupt the Company's operations and the operations of suppliers and customers.  "
16,LYDALL INC /DE/,Company,customers,"Manufacturing processes affect the Company’s ability to deliver quality products on a timely basis, and delays in delivering products to customers could result in the Company incurring increased freight costs and penalties from customers."
17,LYDALL INC /DE/,Company,customers,"The Company also may have access to sensitive, confidential or personal data or information in certain of Lydall’s businesses that is subject to privacy and security laws, regulations and customer-imposed controls."
18,LYDALL INC /DE/,Lydall’s,customers,"The Company also may have access to sensitive, confidential or personal data or information in certain of Lydall’s businesses that is subject to privacy and security laws, regulations and customer-imposed controls."
19,LYDALL INC /DE/,The General Data Protection Regulation (,customers,"The General Data Protection Regulation (""GDPR""), which went into effect in the European Union (""EU"") on May 25, 2018, among other things, mandates new requirements regarding the handling of personal data of employees and customers, including its use, protection and the ability of persons whose data is stored to correct or delete such data about themselves."
20,LYDALL INC /DE/,GDPR,customers,"The General Data Protection Regulation (""GDPR""), which went into effect in the European Union (""EU"") on May 25, 2018, among other things, mandates new requirements regarding the handling of personal data of employees and customers, including its use, protection and the ability of persons whose data is stored to correct or delete such data about themselves."
21,LYDALL INC /DE/,the European Union,customers,"The General Data Protection Regulation (""GDPR""), which went into effect in the European Union (""EU"") on May 25, 2018, among other things, mandates new requirements regarding the handling of personal data of employees and customers, including its use, protection and the ability of persons whose data is stored to correct or delete such data about themselves."
22,LYDALL INC /DE/,EU,customers,"The General Data Protection Regulation (""GDPR""), which went into effect in the European Union (""EU"") on May 25, 2018, among other things, mandates new requirements regarding the handling of personal data of employees and customers, including its use, protection and the ability of persons whose data is stored to correct or delete such data about themselves."
23,LYDALL INC /DE/,Lydall,customers,"In the event of stockholder activism, particularly with respect to matters which Lydall's  Board of Directors, in exercising their fiduciary duties, disagree with or have determined not to pursue, the Company could be adversely affected because responding to actions by activist stockholders can be costly and time-consuming, disrupting  operations and diverting the attention of management, and perceived uncertainties as to  future direction may result in the loss of potential business opportunities and may make it more difficult to attract and retain qualified personnel, business partners and customers."
24,LYDALL INC /DE/,Board of Directors,customers,"In the event of stockholder activism, particularly with respect to matters which Lydall's  Board of Directors, in exercising their fiduciary duties, disagree with or have determined not to pursue, the Company could be adversely affected because responding to actions by activist stockholders can be costly and time-consuming, disrupting  operations and diverting the attention of management, and perceived uncertainties as to  future direction may result in the loss of potential business opportunities and may make it more difficult to attract and retain qualified personnel, business partners and customers."
25,LYDALL INC /DE/,Company,customers,"In the event of stockholder activism, particularly with respect to matters which Lydall's  Board of Directors, in exercising their fiduciary duties, disagree with or have determined not to pursue, the Company could be adversely affected because responding to actions by activist stockholders can be costly and time-consuming, disrupting  operations and diverting the attention of management, and perceived uncertainties as to  future direction may result in the loss of potential business opportunities and may make it more difficult to attract and retain qualified personnel, business partners and customers."
26,LYDALL INC /DE/,ASU,customers,"Revenue from Contracts with Customers (Topic 606)” and ASU 2016-02, ""Leases (Topic 842)"" and (vi) the Company’s effective tax rate."
27,LYDALL INC /DE/,Company,customers,"During the fourth quarter of 2019, as a result of negative cash flows in 2019 and an expected reduction in demand from certain customers further impacting net sales and cash flows in 2020, the Company tested for impairment a discrete long-lived asset group (primarily consisting of machinery and equipment and patents) in the Performance Materials segment with a carrying value of approximately $3.0 million.  "
29,LYDALL INC /DE/,Company,customers,The Company also has certain arrangements in which it can pass through inflation on raw material costs to its customers.
30,LYDALL INC /DE/,Company,customers,"Accounting Principle As discussed in Note 2 to the consolidated financial statements, the Company changed the manner in which it accounts for revenue from contracts with customers in 2018."
31,LYDALL INC /DE/,Company,customers,The Company performs ongoing credit evaluations of its customers’ financial condition and generally does not require collateral.  
32,LYDALL INC /DE/,Company,customers,"In December 2019, the Company entered into two arrangements with a banking institution to sell trade accounts receivable balances for select customers."
33,LYDALL INC /DE/,Company,customers,"Under the programs, the Company has no risk of loss due to credit default F-8 and is charged a fee based on the nominal value of receivables sold and the time between the sale of the trade accounts receivables to banking institutions and collection from the customer.  "
34,LYDALL INC /DE/,Company,customers,"Under one of the programs, the Company services the trade receivables after sale and receives 90.0 % of the trade receivables in cash at the time of sale and the remaining 10.0 % in cash, net of fees, when the customer pays.  "
35,LYDALL INC /DE/,Company,customers,"The Company enters into contractual agreements with certain customers to design and develop molds, dies and tools (collectively, “tooling”).  "
36,LYDALL INC /DE/,Company,customers,All such tooling contracts relate to parts that the Company will supply to customers under long-term supply agreements.
37,LYDALL INC /DE/,Company,customers,The Company’s revenue recognition policies require the Company to make significant judgments and estimates regarding timing of recognition based on timing of the transfer of control to the customer.
38,LYDALL INC /DE/,Company,customers,"The Company analyzes several factors, including but not limited to, the nature of the products being sold and contractual terms and conditions in contracts with customers to help the Company make such judgments about revenue recognition."
39,LYDALL INC /DE/,Company,customers,"Periodically, the Company enters into contractually guaranteed reimbursement arrangements as a mechanism to collect amounts due from customers from tooling sales."
40,LYDALL INC /DE/,Prepaid,customers,The amounts due from the customer in such transactions are recorded in “Prepaid expenses and other current assets” or “
42,LYDALL INC /DE/,Company’s,customers,Revenue is generally recognized at a point in time when control passes to customers upon shipment of the Company’s products and revenue is generally recognized over time when control of the Company’s products transfers to customers during the manufacturing process.  
43,LYDALL INC /DE/,Company,customers,"However, the Company conducts business with certain customers on FOB destination terms and in these instances point in time"
44,LYDALL INC /DE/,Company,customers,"The Company does not provide customers with general rights of return for products sold; however, in limited circumstances, the Company will allow sales returns and allowances from customers if the products sold do not conform to specifications."
46,LYDALL INC /DE/,Company,customers,The Company's accounting policy is to record shipping and handling activities occurring after control has passed to the customer as a fulfillment cost rather than as a distinct performance obligation.  
47,LYDALL INC /DE/,Company,customers,"The Company analyzes several factors, including but not limited to, the nature of the F-12 products being sold and contractual terms and conditions in contracts with customers to help the Company make such judgments about revenue recognition."
48,LYDALL INC /DE/,Company,customers,"The transaction price in the contract is determined based on the consideration to which the Company will be entitled in exchange for transferring products to the customer, excluding amounts collected on behalf of third parties (for example, sales taxes)."
49,LYDALL INC /DE/,Company,customers,"Consideration payable to a customer includes cash amounts that the Company pays, or expects to pay, to a customer based on certain contract requirements."
50,LYDALL INC /DE/,Company,customers,"The Company recognizes revenue as performance obligations are satisfied, which can be either over time or at a point in time, depending on when control of the Company’s products transfers to its customers."
51,LYDALL INC /DE/,Company’s,customers,"The Company recognizes revenue as performance obligations are satisfied, which can be either over time or at a point in time, depending on when control of the Company’s products transfers to its customers."
52,LYDALL INC /DE/,Company,customers,"The Company recognizes revenue at a point in time or over time, based upon when control transfers to the customer.  "
54,LYDALL INC /DE/,Company,customers,"The Company enters into contractual agreements with certain customers within the automotive industry, to design and develop molds, dies and tools (collectively, “tooling”)."
55,LYDALL INC /DE/,Company,customers,"The Company recognizes parts revenue at a point in time or over time, based upon when control transfers to the customer."
56,LYDALL INC /DE/,Company,customers,"These contract liabilities represent the Company’s obligation to transfer its products to its customers for which the Company has received, or is owed consideration from its customers."
57,LYDALL INC /DE/,Company,customers,"The Company disaggregates revenue from customers by geographic region, as it believes this disclosure best depicts how the nature, amount, timing and uncertainty of the Company's revenue and cash flows are affected by economic factors."
58,LYDALL INC /DE/,Interface,customers,"I n connection with the acquisition of Interface on August 31, 2018, the Company recorded intangible assets of $ 106.9 million , which included $ 103.7 million of customer relationships and $ 3.2 million of trade names.  "
59,LYDALL INC /DE/,Company,customers,"I n connection with the acquisition of Interface on August 31, 2018, the Company recorded intangible assets of $ 106.9 million , which included $ 103.7 million of customer relationships and $ 3.2 million of trade names.  "
60,LYDALL INC /DE/,Company,customers,"During the fourth quarter of 2019, as a result of negative cash flows in 2019 and an expected reduction in demand from certain customers further impacting net sales and cash flows in 2020, the Company tested for impairment a discrete long-lived asset group (primarily consisting of machinery and equipment and patents) in the Performance Materials segment with a carrying value of approximately $ 3.0 million .  "
61,LYDALL INC /DE/,Company,customers,"As our allowance for doubtful accounts assessment process takes into consideration forward-looking information related to our customers in addition to historical experience the Company does not expect the new standard to have a material impact on the Company's  consolidated financial statements and disclosures upon adoption of the new standards effective January 1, 2020."
63,LYDALL INC /DE/,FASB,customers,"In August 2018, the FASB issued ASU 2018-15, ""Intangibles - Goodwill and Other - Internal-Use Software (Subtopic 350-40); Customer’s Accounting for Implementation Costs Incurred in a Cloud Computing Arrangement"
64,LYDALL INC /DE/,ASU,customers,"In August 2018, the FASB issued ASU 2018-15, ""Intangibles - Goodwill and Other - Internal-Use Software (Subtopic 350-40); Customer’s Accounting for Implementation Costs Incurred in a Cloud Computing Arrangement"
65,LYDALL INC /DE/,Customer’s Accounting for Implementation Costs Incurred,customers,"In August 2018, the FASB issued ASU 2018-15, ""Intangibles - Goodwill and Other - Internal-Use Software (Subtopic 350-40); Customer’s Accounting for Implementation Costs Incurred in a Cloud Computing Arrangement"
0,LYDALL INC /DE/,Ford Motor Company,Sells to,"Sales to Ford Motor Company accounted for 11.8% , 14.8% and 17.3% of Lydall’s net sales in the years ended December 31, 2019 , 2018 and 2017 , respectively."
1,LYDALL INC /DE/,Lydall’s,Sells to,"Sales to Ford Motor Company accounted for 11.8% , 14.8% and 17.3% of Lydall’s net sales in the years ended December 31, 2019 , 2018 and 2017 , respectively."
2,LYDALL INC /DE/,Thermal Acoustical Solutions,Sells to,"(3) Included in the Technical Nonwovens segment and Eliminations and Other is $21.0 million , $22.2 million and $26.5 million in intercompany sales to the Thermal Acoustical Solutions segment for the years ended December 31, 2019 , 2018 and 2017 , respectively."
3,LYDALL INC /DE/,Thermal Acoustical Solutions,Sells to,"Sales to the automotive market, included in the Thermal Acoustical Solutions segment and to a lesser extent the Performance Materials segment, were 42.9 % of the Company’s net sales in 2019 , 46.3 % in 2018 , and 48.3 % in 2017 ."
4,LYDALL INC /DE/,Ford,Sells to,"Sales to Ford were 11.8 % , 14.8 % , and 17.3 % of Lydall’s 2019 , 2018 , and 2017 net sales, respectively."
5,LYDALL INC /DE/,Lydall,Sells to,"Sales to Ford were 11.8 % , 14.8 % , and 17.3 % of Lydall’s 2019 , 2018 , and 2017 net sales, respectively."
6,LYDALL INC /DE/,Thermal Acoustical Solutions,Sells to,"(3) Included in the Technical Nonwovens segment and Eliminations and Other is $ 21.0 million , $ 22.2 million and $ 26.5 million of intercompany sales to the Thermal Acoustical Solutions segment for the years ended December 31, 2019 , 2018 and 2017 , respectively."
7,LYDALL INC /DE/,Ford Motor Company,Sells to,"Sales to Ford Motor Company in 2019 , 2018 , and 2017 were $ 99.1 million , $ 116.1 million , and $ 120.7 million , respectively, and accounted for 11.8 % , 14.8 % , and 17.3 % of Lydall’s consolidated net sales in the years ended F-38 December 31, 2019 , 2018 , and 2017 , respectively."
8,LYDALL INC /DE/,Lydall’s,Sells to,"Sales to Ford Motor Company in 2019 , 2018 , and 2017 were $ 99.1 million , $ 116.1 million , and $ 120.7 million , respectively, and accounted for 11.8 % , 14.8 % , and 17.3 % of Lydall’s consolidated net sales in the years ended F-38 December 31, 2019 , 2018 , and 2017 , respectively."
0,LYDALL INC /DE/,Company,dependent on,"Accordingly, the ability to compete is in part dependent on the Company's ability to continually offer enhanced and improved products that meet the changing requirements of Lydall's customers.  "
0,VISTEON CORP,Company,Supply,"While the Company does not anticipate any significant interruption in the supply of raw materials, there can be no assurance that sufficient sources or amounts of all necessary raw materials will be available in the future."
1,VISTEON CORP,Company,Supply,"Although the Company has purchase orders from many of its customers, these purchase orders generally provide for the supply of a customer’s annual requirements for a particular vehicle model and assembly plant, or in some cases, for the supply of a customer’s requirements for the life of a particular vehicle model, rather than for the purchase of a specific quantity of products.   "
2,VISTEON CORP,Company,Supply,"In an effort to manage and reduce the costs of purchased goods and services, the Company, like many suppliers and automakers, has been consolidating its supply base."
3,VISTEON CORP,Company,Supply,"As a result, the Company is dependent on single or limited sources of supply for certain components used in the manufacture of its products."
4,VISTEON CORP,Company,Supply,"Furthermore, unfavorable economic or industry conditions could result in financial distress within the Company's supply base, thereby increasing the risk of supply disruption."
5,VISTEON CORP,Company,Supply,"could cause a supply disruption and thereby adversely affect the Company's financial condition, operating results and cash flows."
10,VISTEON CORP,Manufacturing Operations and Supply,Supply,"Name Age Position Sachin S. Lawande 52 Director, President and Chief Executive Officer William M. Robertson 58 Vice President and Interim Chief Financial Officer Sunil K. Bilolikar 58 Senior Vice President, Manufacturing Operations and Supply Chain Matthew M. Cole 50 Senior Vice President, Product Delivery Jochen Ladwig 46 Senior Vice President, Global Quality and Procurement Brett D. Pynnonen 51"
11,VISTEON CORP,Product Delivery Jochen Ladwig,Supply,"Name Age Position Sachin S. Lawande 52 Director, President and Chief Executive Officer William M. Robertson 58 Vice President and Interim Chief Financial Officer Sunil K. Bilolikar 58 Senior Vice President, Manufacturing Operations and Supply Chain Matthew M. Cole 50 Senior Vice President, Product Delivery Jochen Ladwig 46 Senior Vice President, Global Quality and Procurement Brett D. Pynnonen 51"
12,VISTEON CORP,Global Quality and Procurement,Supply,"Name Age Position Sachin S. Lawande 52 Director, President and Chief Executive Officer William M. Robertson 58 Vice President and Interim Chief Financial Officer Sunil K. Bilolikar 58 Senior Vice President, Manufacturing Operations and Supply Chain Matthew M. Cole 50 Senior Vice President, Product Delivery Jochen Ladwig 46 Senior Vice President, Global Quality and Procurement Brett D. Pynnonen 51"
13,VISTEON CORP,Visteon’s,Supply,"Sunil K. Bilolikar has been Visteon’s Senior Vice President, Manufacturing Operations and Supply Chain since January 2020 and  Senior Vice President, Operations and Purchasing from December 2016 to December 2019."
14,VISTEON CORP,Manufacturing Operations and Supply Chain,Supply,"Sunil K. Bilolikar has been Visteon’s Senior Vice President, Manufacturing Operations and Supply Chain since January 2020 and  Senior Vice President, Operations and Purchasing from December 2016 to December 2019."
15,VISTEON CORP,Company,Supply,"It is generally required that non-reimbursable design and development costs for products to be sold under long-term supply arrangements be expensed as incurred and costs incurred for molds, dies and other tools that will be owned by the Company or its customers and used in producing the products under long-term supply arrangements be capitalized and amortized over the shorter of the expected useful life of the assets or the term of the supply arrangement."
0,VISTEON CORP,MaximumMember,customers,MaximumMember us-gaap:CustomerRelatedIntangibleAssetsMember 2019-01-01 2019-12-31 0001111335 us-gaap:InProcessResearchAndDevelopmentMember 2017-01-01
1,VISTEON CORP,MinimumMember,customers,MinimumMember us-gaap:CustomerRelatedIntangibleAssetsMember 2019-01-01 2019-12-31 0001111335 srt:MinimumMember us-gaap:TechnologyBasedIntangibleAssetsMember 2019-01-01 2019-12-31 0001111335 vc:
3,VISTEON CORP,MaximumMember,customers,srt:MaximumMember us-gaap:CustomerRelationshipsMember 2018-10-01 2018-12-31 0001111335 us-gaap:InProcessResearchAndDevelopmentMember 2017-01-01
4,VISTEON CORP,MinimumMember,customers,MinimumMember us-gaap:CustomerRelationshipsMember 2018-10-01 2018-12-31 0001111335 vc
5,VISTEON CORP,GoodwillMember,customers,us-gaap:CustomerRelationshipsMember 2018-12-31 0001111335 us-gaap:GoodwillMember 2018-12-31 0001111335 us-gaap:OtherIntangibleAssetsMember 2019-01-01 2019-12-31 0001111335 us-gaap:OtherIntangibleAssetsMember 2019-12-31 0001111335 us-gaap:GoodwillMember 2019-01-01 2019-12-31 0001111335 us-gaap:DevelopedTechnologyRightsMember 2019-12-31 0001111335 us-gaap:OtherIntangibleAssetsMember 2017-12-31 0001111335 us-gaap:
7,VISTEON CORP,MinimumMember,customers,srt:MinimumMember us-gaap:CustomerRelationshipsMember 2019-01-01 2019-12-31 0001111335 us-gaap:SoftwareAndSoftwareDevelopmentCostsMember 2017-12-31 0001111335 us-gaap:FinanceReceivablesMember 2018-12-31 0001111335 us-gaap:NotesReceivableMember 2018-01-01 2018-12-31 0001111335 us-gaap:FinanceReceivablesMember 2019-12-31 0001111335 2017-06-30 0001111335 us-gaap:RevolvingCreditFacilityMember 2019-12-31 0001111335
8,VISTEON CORP,Visteon,customers,"Visteon is headquartered in Van Buren Township, Michigan, and has an international network of manufacturing operations, technical centers and joint venture operations, supported by approximately 11,000 employees, dedicated to the design, development, manufacture and support of its product offerings and its global customers."
9,VISTEON CORP,Company,customers,"The Company believes that future success in the automotive industry is, in part, dependent on alignment with customers to support their efforts to effectively meet the challenges associated with the following significant trends and developments in the global automotive industry."
10,VISTEON CORP,Company's Electronics,customers,"The Company's Electronics segment provides vehicle cockpit electronics products to customers, including instrument clusters, information displays, infotainment systems, audio systems, telematics solutions and head-up displays."
11,VISTEON CORP,Company,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
12,VISTEON CORP,Ford,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
13,VISTEON CORP,Mazda,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
14,VISTEON CORP,Renault,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
15,VISTEON CORP,Nissan,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
16,VISTEON CORP,General Motors,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
17,VISTEON CORP,Volkswagen,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
18,VISTEON CORP,Jaguar/Land Rover,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
19,VISTEON CORP,Daimler,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
20,VISTEON CORP,Honda,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
21,VISTEON CORP,BMW,customers,"The Company's ultimate customers are global vehicle manufacturers including Ford, Mazda, Renault/Nissan, General Motors, Volkswagen, Jaguar/Land Rover, Daimler, Honda and BMW.  "
22,VISTEON CORP,Ford,customers,"Ford, Mazda and Renault/Nissan are the Company's largest ultimate customers and in 2019 accounted for sales of approximately 22% , 14% and 13% , respectively."
23,VISTEON CORP,Mazda,customers,"Ford, Mazda and Renault/Nissan are the Company's largest ultimate customers and in 2019 accounted for sales of approximately 22% , 14% and 13% , respectively."
24,VISTEON CORP,Renault,customers,"Ford, Mazda and Renault/Nissan are the Company's largest ultimate customers and in 2019 accounted for sales of approximately 22% , 14% and 13% , respectively."
25,VISTEON CORP,Nissan,customers,"Ford, Mazda and Renault/Nissan are the Company's largest ultimate customers and in 2019 accounted for sales of approximately 22% , 14% and 13% , respectively."
26,VISTEON CORP,Company,customers,"Ford, Mazda and Renault/Nissan are the Company's largest ultimate customers and in 2019 accounted for sales of approximately 22% , 14% and 13% , respectively."
27,VISTEON CORP,Company,customers,"The Company has an aggressive cost-reduction program that focuses on reducing its total costs, which are intended to offset customer price reductions."
28,VISTEON CORP,Company,customers,The Company typically enters into customer agreements at the beginning of a vehicle life cycle with the intent to fulfill customer-purchasing requirements for the entire vehicle production life cycle.
29,VISTEON CORP,Company,customers,The Company's customers make no firm commitments regarding volume and may terminate these agreements or orders at any time.
30,VISTEON CORP,The Company’s Business,customers,"The Company’s Business is Seasonal and Cyclical Historically, the Company’s business has been moderately seasonal because its largest North American customers typically cease production for approximately two weeks in July for model year changeovers and approximately one week in December during the winter holidays."
